cligs_id,location,country,periode,link
tc0173,Constantinople,Turquie,VIIème,
tc0524,Sur une île,Sur une île,XVIIIème,
tc0010,Dans un bois,Pologne,XVIIIème,
tc0171,Valladolid,Espagne,XVème,
tc0588,Jérusalem,Israël,Ier siècle,
tc0108,Village,France,XVIIIème,
tc0378,Crète,Crète,(inconnue),
tc0239,à la Campagne,France,XVIIIème,
tc0334,Mégalople,(pays imaginaire),XVIIème,
tc0523,Paris,France,XVIIIème,
tc0523,Île de la Raison,Lieu fantastique,XVIIIème,
tc0674,Paris,France,XVIIème,
tc0567,Versailles,France,XVIIème,
tc0552,Paris,France,XVIIème,
tc0699,(non indiqué),(inconnu),(inconnue),
tc0456,Parnasse,Pays mythologique,Temps mythologiques,
tc0469,Paris,France,XVIIIème,
tc0260,Paris,France,XVIIIème,
tc0263,Paris,France,XVIIème,
tc0747,Paris,France,XVIIIème,
tc0328,Paris,France,XVIIIème,
tc0774,Lusignan,France,(inconnue),
tc0333,Paris,France,XVIIIème,
tc0072,Londres,Angleterre,XVIIIème,
tc0221,Nicomédie,Turquie,IVer avant JC,
tc0172,Paris,France,XVIIème,
tc0619,Paris,France,XVIIIème,
tc0694,Séville,Espagne,XVIIème,
tc0188,Séleucie de Piérie,Syrie,IIème avant JC,
tc0464,Paris,France,XVIIème,
tc0339,France,France,XVIIIème,
tc0461,Paris,France,XVIIème,
tc0730,Paphos,Chypre,XVIIème,
tc0675,Paris,France,XVIIème,
tc0754,Rome,Italie,Ier,
tc0293,Brie,France,XVIIIème,
tc0280,Namur,Belgique,XVIIème,
tc0775,Cognac,France,XVIIIème,
tc0749,Le Mans,France,XVIIIème,
tc0170,Ecosse,Ecosse,(inconnue),
tc0020,Paris,France,XVIIIème,
tc0457,Grèce,Grèce,Temps mythologiques,
tc0079,Paris,France,XVIIème,
tc0543,Paris,France,XVIIème,
tc0098,Bétulie,Israël,VIIème avant JC,
tc0090,France,France,XVIIème,
tc0435,Paris,France,XVIIème,
tc0025,Paris,France,XVIIIème,
tc0789,Pekin,Chine,XIIIème,
tc0195,Rome,Italie,Ier,
tc0627,Séleucie,Turquie,Vème avant JC,
tc0650,Bord de l'Hydaspe,Inde,IVème avant JC,
tc0063,Jérusalem,Israël,Ier,
tc0327,Paris,France,XVIIème,
tc0529,France,France,XVIIIème,
tc0592,Paris,France,XVIIIème,
tc0150,Colchide,Grèce,Temps mythologiques,
tc0162,En ville,France,XVIIIème,
tc0192,Paris,France,XVIIème,
tc0120,Paris,France,XVIIIème,
tc0521,France,France,XVIIIème,
tc0382,(non indiqué),(non indiqué),(non indiqué),
tc0278,France,France,XVIIème,
tc0488,Paris,France,XVIIème,
tc0350,Marseille,France,XVIIIème,
tc0744,Paris,France,XVIIème,
tc0651,Buthrot,Albanie,Temps mythologiques,
tc0801,Jérusalem,Israël,XIIème,
tc0002,Campagne,France,XVIIIème,
tc0422,Paris,France,XVIIIème,
tc0544,Paris,France,XVIème,
