cligs_id,location,country,periode,link
tc0726,Naples,Italie,XVIIème,
tc0739,France,France,XVIIIème,
tc0477,Andrinople,Turquie,XVème,
tc0344,(non indiqué),France,XVIIIème,
tc0248,Paris,France,XVIIIème,
tc0220,Corinthe,Grèce,Temps mythologiques,
tc0386,Rome,Italie,VIème avant JC,
tc0132,Paris,France,XVIIIème,
tc0011,France,France,XVIIIème,
tc0105,Utique,Italie,Ier avant JC,
tc0756,Paris,France,XVIIème,
tc0582,Paris,France,XVIIème,
tc0492,Paris,France,XVIIIéme,
tc0034,Un bois,France,XVIIème,
tc0160,Tyr,Syrie,IXème avant JC,
tc0542,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0179,Paris,France,XVIIème,
tc0617,Paris,France,XVIIIème,
tc0548,Vallée de Tempé,Grèce,Temps mythologiques,
tc0664,Thèbes,Grèce,Temps mythologiques,
tc0446,Jérusalem,Israël,Ier,
tc0452,Paris,France,XVIIème,
tc0100,Rome,Italie,Ier,
tc0437,À la campagne,France,XVIIIème,
tc0376,(non indiqué),Grèce,VIIème avec JC,
tc0353,Paris,France,XVIIIème,
tc0413,Londres,Angleterre,XIVème,
tc0357,Palais de Carinther,France,Temps mythologiques,
tc0662,Basse-Normandie,France,XVIIème,
tc0681,Paris,France,XVIIIème,
tc0306,Constantinople,Turquie,XVIème avant JC,
tc0200,Ile de Naxos,Grèce,Temps mythologiques,
tc0097,Messine,Italie,XVIIème,
tc0203,Aix-la-Chapelle,Allemagne,IXème,
tc0518,France,France,XVIIIème,
tc0164,Capitale de Cephée,Ethiopie,Temps mythologiques,
tc0707,France,France,XVIIIème,
tc0787,Argos,Grèce,Temps mythologiques,
tc0698,Thèbes,Grèce,Temps mythologiques,
tc0788,(non indiqué),France,XVIIIème,
tc0643,Paris,France,XVIIème,
tc0216,Naples,Italie,(inconnue),
tc0223,Rome,Italie,IIème,
tc0222,Troie,Turquie,Temps mythologiques,
tc0189,Catalayud,Espagne,Ier avant JC,
tc0009,Paris,France,XVIIème,
tc0123,Orient,Orient,(indéterminé),
tc0374,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0261,Compiègne,France,XVIIème,
tc0101,Suze,Iran,VIème avant JC,
tc0169,Rome,Italie,Ier avant JC,
tc0532,(non indiqué),France,XVIIIème,
tc0167,Séville,Espagne,XIème,
tc0779,Cognac,France,XVIIIème,
tc0646,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0067,Italie,Italie,XVIIème,
tc0773,Picardie,France,XVIème,
tc0795,Scythie,Turquie,Ier avant JC,
tc0412,À la Campagne,France,XVIIIème,
tc0678,Paris,France,XVIIème,
tc0706,France,France,(inconnue),
tc0176,Corinthe,Grèce,Temps mythologiques,
tc0540,Sparte,Grèce,Temps mythologiques,
tc0724,Tolède,Espagne,XVIIème,
tc0018,Paris,France,XVIIIème,
tc0256,Mont Hymette,Grèce,Temps mythologiques,
tc0439,Saragosse,Espagne,XVIème,
tc0526,Paris,France,XVIIIème,
tc0485,Troie,Turquie,Temps mythologiques,
tc0784,France,France,XVIIIème,
tc0424,Paris,France,XVIIIème,
tc0482,Rome,Italie,Ier,
tc0128,France,France,XVIIIème,
tc0058,(inconnue),France,XVIIème,
tc0513,(non indiqué),France,XVIIIème,
tc0096,Babylone,Perse,VIIème avant JC,
tc0032,Paris,France,XVIème,
tc0525,Paris,France,XVIIIème,
tc0753,Rome,Italie,IVème,
tc0109,Paris,France,XVIIIème,
tc0211,Madrid,Espagne,XVIème,
tc0642,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0733,Carthage,Tunisie,Vème,
tc0313,(non indiqué),(inconnu),XVIIème,
tc0077,Paris,France,XVIIIème,
tc0635,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0590,(non indiqué),Paradis terrestre,Temps mythologiques,
tc0043,Paris,France,XVIIIème,
tc0267,Bourbon-les-Bains,France,XVIIème,
tc0146,Paris,France,XVIIIème,
tc0140,Paris,France,XVIIIème,
tc0483,Thèbes,Grèce,Temps mythologiques,
tc0309,Carthage,Tunisie,Vème,
tc0615,Lignon,France,Temps féériques,
tc0757,Lille,France,(inconnue),
tc0665,Thèbes,Grèce,Temps mythologiques,
tc0304,Augsbourg,Allemagne,XVIème,
tc0296,Espagne,Espagne,XVIIIème,
tc0135,France,France,XVIIIème,
tc0767,Lima,Pérou,XIIème,
