,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0419,tc0419,CorneilleT,Festin-Pierre,Le festin de pierre,1677,drama,Comédie,comédie,cinq actes,vers,1670s,Madrid,Espagne,XVIIème
tc0421,tc0421,Rousseau,Narcisse,Narcisse ou l'amant de lui-même,1752,drama,Comédie,comédie,un acte,prose,1750s,France,France,(inconnue)
tc0424,tc0424,Florian,Bon-père,Le bon père,1790,drama,Comédie,comédie,un acte,prose,1790s,Paris,France,XVIIIème
tc0425,tc0425,Archambault,Étrennes-amitié,Les étrennes de l'amitié,1780,drama,Comédie,comédie,un acte,vers,1780s,Paris,France,XVIIIème
tc0427,tc0427,Dancourt,Opérateur-Barry,L'opérateur barry,1702,drama,Comédie,comédie,"un acte, un prologue",prose,1700s,Paris,France,XVIIIème
tc0431,tc0431,Florian,Deux-billets,Les deux billets,1779,drama,Comédie,comédie,un acte,prose,1770s,Paris,France,XVIIIème
tc0437,tc0437,Marivaux,Héritier-village,L'héritier de village,1725,drama,Comédie,comédie,un acte,prose,1720s,France,France,XVIIIème
tc0440,tc0440,Regnard,LesChinois,LesChinois,1692,drama,Comédie,comédie,quatre actes,mixte,1690s,Campagne,France,XVIIème
tc0443,tc0443,SoulasDAllainval,École-bourgeois,L'école des bourgeois,1728,drama,Comédie,comédie,trois actes,prose,1720s,Paris,France,XVIIIème
tc0444,tc0444,CorneilleP,Veuve,La veuve,1634,drama,Comédie,comédie,cinq actes,vers,1630s,Paris,France,XVIIème
tc0446,tc0446,DonneauDeVisé,Gentilhomme-Guespin,Le gentilhomme guespin,1670,drama,Comédie,comédie,un acte,vers,1670s,France,France,XVIIème
tc0447,tc0447,Dufresny,Mariage-fait-rompu,Le mariage fait et rompu,1721,drama,Comédie,comédie,trois actes,vers,1720s,Marseille,France,XVIIIème
tc0449,tc0449,Somaize,Précieuses-ridicules,Les précieuses ridicules,1662,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIème
tc0453,tc0453,Boissy,Dehors-trompeurs,Les dehors trompeurs ou l'homme du jour,1740,drama,Comédie,comédie,cinq actes,vers,1740s,Paris,France,XVIIIème
tc0455,tc0455,Marivaux,Femme-fidèle,La femme fidèle,1750,drama,Comédie,comédie,un acte,prose,1750s,France,France,XVIIIème
tc0457,tc0457,NivelleDeLaChaussée,École-amis,École des amis,1737,drama,Comédie,comédie,cinq actes,vers,1730s,Paris,France,XVIIIème
tc0460,tc0460,PalissotDeMontenoy,Tuteurs,Les tuteurs,1760,drama,Comédie,comédie,deux actes,vers,1760s,Paris,France,XVIIIème
tc0463,tc0463,Voltaire,Originaux,Les originaux ou monsieur du cap-vert,1732,drama,Comédie,comédie,trois actes,prose,1730s,(non indiqué),France,XVIIIème
tc0476,tc0476,LaMotte,Matrone-Éphèse,La matrone d'éphèse,1723,drama,Comédie,comédie,un acte,prose,1720s,Ephèse,Grèce,(non indiqué)
tc0477,tc0477,Boissy,Français-Londres,Le français à londres,1727,drama,Comédie,comédie,un acte,prose,1720s,Londres,Angleterre,XVIIIème
tc0481,tc0481,Boissy,Auteur-superstitieux,L'auteur superstitieux,1732,drama,Comédie,comédie,un acte,vers,1730s,Paris,France,XVIIIème
tc0483,tc0483,Dufresny,Faux-sincère,Le faux sincère,1731,drama,Comédie,comédie,cinq actes,vers,1730s,Paris,France,XVIIIème
tc0484,tc0484,Armand,Cri-nature,Le cri de la nature,1669,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIIème
tc0485,tc0485,Lafont,Trois-frères,Les trois freres rivaux,1710,drama,Comédie,comédie,un acte,vers,1710s,Paris,France,XVIIIème
tc0487,tc0487,Dancourt,Vert-galant,Le vert-galant,1699,drama,Comédie,comédie,un acte,prose,1690s,Paris,France,XVIIème
tc0488,tc0488,Boursault,Comédie-sans-titre,La comédie sans titre,1683,drama,Comédie,comédie,un acte,vers,1680s,Paris,France,XVIIème
tc0489,tc0489,Aigueberre,Avare-amoureux,L'avare amoureux,(non représentée),drama,Comédie,comédie,un acte,prose,N/A,Campagne,France,XVIIIème
tc0491,tc0491,Florian,Bon-ménage,Le bon ménage,1782,drama,Comédie,comédie,un acte,prose,1780s,Bergame,Italie,XVIIIème
tc0495,tc0495,Biancolelli,Agnès-Chaillot,Agnès de chaillot,1723,drama,Comédie,comédie,un acte,mixte,1720s,Chaillot,France,XVIIIème
tc0500,tc0500,Scudery,Comédie-comédiens,La comédie des comédiens,1634,drama,Comédie,comédie,trois actes,mixte,1630s,Lyon,France,XVIIème
tc0501,tc0501,Legrand,Nouveauté,La nouveauté,1727,drama,Comédie,comédie,un acte,vers,1720s,Fleuve de l'Ennui,Lieu Mythologique,XVIIIème
tc0502,tc0502,Anonyme,Portier-Parnasse,Le portier du parnasse,(non représentée),drama,Comédie,comédie,un acte,prose,(non représentée0s,Parnasse,Pays mythologique,XVIIIème
tc0504,tc0504,Scarron,Boutades,Les boutades du capitan matamore et ses comédies,1646,drama,Comédie,comédie,deux actes,vers,1640s,(non indiqué),(non indiqué),XVIIème
tc0506,tc0506,Dufresny,Dédit,Le dédit,1719,drama,Comédie,comédie,un acte,vers,1710s,France,France,XVIIIème
tc0508,tc0508,Guibert,Filles-marier,Les filles à marier,1768,drama,Comédie,comédie,un acte,vers,1760s,France,France,XVIIIème
tc0510,tc0510,Marivaux,Préjuge-vaincu,Le préjuge vaincu,1646,drama,Comédie,comédie,un acte,prose,1640s,(non indiqué),France,XVIIIème
tc0512,tc0512,Dancourt,Vendanges-Suresnes,Les vendanges de suresnes,1695,drama,Comédie,comédie,un acte,mixte,1690s,Suresnes,France,XVIIème
tc0513,tc0513,Dancourt,Foire-Saint-Germain,La foire saint germain,1697,drama,Comédie,comédie,un acte,prose,1690s,Paris,France,XVIIème
tc0516,tc0516,Dufresny,Noce-interrompue,La noce interrompue,1699,drama,Comédie,comédie,un acte,prose,1690s,France,France,XVIIème
tc0519,tc0519,Dancourt,Enfants-Paris,Les enfants de paris,1699,drama,Comédie,comédie,cinq actes,vers,1690s,Paris,France,XVIIème
tc0520,tc0520,Molière,George-Dandin,George dandin ou le mari confondu,1668,drama,Comédie,comédie,trois actes,prose,1660s,Paris,France,XVIIème
tc0521,tc0521,Molière,Médecin-malgré-lui,Le médecin malgré lui,1666,drama,Comédie,comédie,un acte,prose,1660s,(non indiqué),France,XVIIème
tc0528,tc0528,Barbier,Faucon,Le faucon,1719,drama,Comédie,comédie,un acte,vers,1710s,Créteil,France,XVIIème
tc0530,tc0530,Lantier,Impatient,L'impatient,1778,drama,Comédie,comédie,un acte,vers,1770s,France,France,XVIIIème
tc0532,tc0532,Dancourt,Curieux-Compiègne,Les curieux de compiègne,1698,drama,Comédie,comédie,un acte,prose,1690s,Compiègne,France,XVIIème
tc0535,tc0535,Scarron,Don-Japhet,Don japhet d'arménie,1652,drama,Comédie,comédie,cinq actes,vers,1650s,Orgas,Espagne,XVIIème
tc0538,tc0538,LaHarpe,Muses-rivales,Les muses rivales,1779,drama,Comédie,comédie,un acte,vers,1770s,Mont Parnasse,Pays mythologique,(non indiqué)
tc0541,tc0541,Marivaux,Fausse-suivante,La fausse suivante ou le fourbe puni,1724,drama,Comédie,comédie,trois actes,prose,1720s,France,France,XVIIIème
tc0543,tc0543,CorneilleT,Don-César-Avalos,Don césar d'avalos,1674,drama,Comédie,comédie,cinq actes,vers,1670s,Madrid,Espagne,XVIème
tc0546,tc0546,Boursault,Mots-mode,Les mots a la mode,1694,drama,Comédie,comédie,un acte,vers,1690s,France,France,XVIIème
tc0547,tc0547,Desportes,Veuve-coquette,La veuve coquette,1721,drama,Comédie,comédie,un acte,mixte,1720s,Paris,France,XVIIIème
tc0548,tc0548,Dorimond,École-cocus,L'école des cocus ou la précaution inutile,(inconnue),drama,Comédie,comédie,un acte,mixte,(inconnue0s,Boulogne,France,XVIIème
tc0549,tc0549,Molière,Sganarelle,Sganarelle ou le cocu imaginaire,1660,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIème
tc0552,tc0552,LaFontaine,Ragotin,Ragotin ou le roman comique,(non représentée),drama,Comédie,comédie,cinq actes,vers,(non représentée0s,Paris,France,XVIIème
tc0553,tc0553,Poisson,Amour-secret,L'amour secret,1740,drama,Comédie,comédie,un acte,vers,1740s,Paris,France,XVIIIème
tc0555,tc0555,Dancourt,Mari-retrouvé,Le mari retrouvé,1698,drama,Comédie,comédie,un acte,prose,1690s,À la campagne,France,XVIIème
tc0557,tc0557,Regnard,Retour-imprévu,Le retour imprévu,1700,drama,Comédie,comédie,un acte,prose,1700s,Paris,France,XVIIIème
