,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0202,tc0202,Scudery,Fils-supposé,Le fils supposé,1645,drama,Comédie,comédie,cinq actes,vers,1640s,Paris,France,XVIIème
tc0203,tc0203,Boissy,Plagiaire,Le plagiaire,1746,drama,Comédie,comédie,trois actes,vers,1740s,Paris,France,XVIIIème
tc0204,tc0204,GriffetDeLabaume,Messe-Gnide,La messe de gnide,(non représentée),drama,Comédie,comédie,cinq actes,vers,(non représentée0s,Lieu mythologique,Pays myhtologiques,Temps mythologiques
tc0206,tc0206,Piron,Arlequin-deucalion,Arlequin deucalion,1722,drama,Comédie,comédie,trois actes,mixte,1720s,Mont Parnasse,Grèce,Temps mythologiques
tc0207,tc0207,Regnard,Souhaits,Les souhaits,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,(indéterminé),France,XVIIIème
tc0209,tc0209,PlancherDeValcour,Verre-eau,Le verre d'eau,1788,drama,Comédie,comédie,un acte,prose,1780s,Paris,France,XVIIIème
tc0210,tc0210,Voltaire,Femme-raison,La femme qui a raison,1758,drama,Comédie,comédie,trois actes,vers,1750s,France,France,XVIIIème
tc0211,tc0211,Regnard,Démocrite,Démocrite,1700,drama,Comédie,comédie,cinq actes,vers,1700s,Athènes,Grèce,Vème avant JC
tc0214,tc0214,Boissy,Homme-jour,L'homme du jour,(inconnue),drama,Comédie,comédie,un acte,vers,(inconnue0s,Paris,France,XVIIIème
tc0222,tc0222,Boursault,Portrait-peintre,Le portrait du peintre,1663,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIème
tc0227,tc0227,Boursault,Jaloux-endormi,Le jaloux endormi,1662,drama,Comédie,comédie,un acte,vers,1660s,Toulon,France,XVIIème
tc0229,tc0229,Boucher,Champagne-coiffeur,Champagne le coiffeur,1662,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIème
