role_id,civil,type,statut,age,stat_amour
tc0622-MONSIEURLAVOY,,H,bourgeois,A,néant
tc0622-MONSIEURPONTEUIL,,H,bourgeois,A,néant
tc0622-MONSIEURDUBOCAGE,,H,bourgeois,A,néant
tc0622-MONSIEURFOMPRE,,H,bourgeois,A,néant
tc0622-MONSIEURPOISSON,,H,bourgeois,A,néant
tc0622-MONSIEURDANCOURT,,H,bourgeois,A,néant
tc0622-MONSIEURDESBROSSES,,H,bourgeois,A,néant
tc0622-MADEMOISELLEGODEFROY,,H,bourgeois,A,néant
tc0622-MADEMOISELLEFOMPRE,,H,bourgeois,A,néant
tc0622-MADEMOISELLESALLE,,H,bourgeois,A,néant
tc0622-MADEMOISELLEMIMYDANCOURT,,H,bourgeois,A,néant
tc0393-TITE,,H,empereur,A,Bérénice
tc0393-DOMITIAN,,H,aristocrate,A,Domitie
tc0393-BERENICE,,H,roi,A,amoureux
tc0393-DOMITIE,,H,aristocrate,J,néant
tc0393-PLAUTINE,,H,confident,A,néant
tc0393-FLAVIAN,,H,confident,A,néant
tc0393-ALBIN,,H,confident,A,néant
tc0393-PHILON,,H,ministre,A,néant
tc0771-ROGER,,H,bourgeois,A,néant
tc0771-ROGER,,H,bourgeois,A,néant
tc0771-BELISE,,H,bourgeois,A,néant
tc0771-ANGELIQUE,,H,bourgeois,A,néant
tc0771-NIGAUDIN,,H,bourgeois,A,néant
tc0771-LE-DRUIDE,,H,druide,A,néant
tc0771-LA-FEMME-DE-NIGAUDIN,,H,bourgeois,A,néant
tc0208-VENDOME,,H,duc,A,néant
tc0208-NEMOURS,,H,duc,A,néant
tc0208-COUCY,,H,aristocrate,A,néant
tc0208-ADELAIDE,,H,aristocrate,A,néant
tc0208-TAISE,,H,aristocrate,A,néant
tc0208-DANGESTE,,H,duc,A,néant
tc0208-OFFICIER,,H,officier,A,néant
tc0208-GARDE,,H,garde,A,néant
tc0416-PULCHERIE,,H,empereur,A,néant
tc0416-MARTIAN,,H,ministre,V,néant
tc0416-LEON,,H,aristocrate,A,Pulchérie
tc0416-ASPAR,,H,aristocrate,A,Irène
tc0416-IRENE,,H,aristocrate,A,néant
tc0416-JUSTINE,,H,aristocrate,J,néant
tc0711-DORILAS,,H,berger,A,néant
tc0711-CLIMENE,,H,berger,A,néant
tc0711-SILENE,,H,berger,J,amoureux
tc0711-ERGASTE,,H,berger,J,amoureux
tc0711-LISIMENE,,H,berger,J,amoureux
tc0711-TELAMIRE,,H,berger,J,néant
tc0711-SILVANIRE,,H,berger,A,amoureux
tc0711-PHILIS,,H,berger,J,néant
tc0711-PALEMON,,H,berger,A,néant
tc0711-DAMIS,,H,berger,A,amoureux
tc0907-LEANDRE,,H,bourgeois,A,
tc0907-ALONCE,,H,bourgeois,A,
tc0907-ISABELLE,,H,bourgeois,A,
tc0907-LAURE,,H,suivante,A,
tc0005-PROXENE,,H,prince,A,amoureux
tc0005-TRASILE,,H,prince,A,amoureux
tc0005-DYNAMIS,,H,reine,A,amoureux
tc0005-POLIANTE,,H,roi,A,amoureux
tc0005-PROCLEE,,H,confident,A,néant
tc0005-EURISTENE,,H,fermier,A,néant
tc0005-DEPUTES,,H,député,A,néant
tc0005-ARCAS,,H,prince,A,néant
tc0804-AGAMEMNON,,H,roi,A,néant
tc0804-CLYTEMNESTRE,,H,roi,A,néant
tc0804-EGISTHE,,H,prince,A,néant
tc0804-ELECTRE,,H,prince,A,néant
tc0804-CASSANDRE,,H,prince,A,néant
tc0804-LANOURRICE,,H,nourrice,A,néant
tc0804-STROPHIUS,,H,aristocrate,A,néant
tc0804-EURYBATE,,H,aristocrate,A,néant
tc0804-EURYBATE,,H,ombre,A,néant
tc0804-LOMBREDETHYESTE,,H,choeur,A,néant
tc0804-CHOEURDETROYENNES,,H,choeur,A,néant
tc0804-ORESTE,,H,prince,A,néant
tc0804-PYLADE,,H,prince,A,néant
tc0126-LARONDE,,H,écrivain,A,néant
tc0126-DELPHINE,,H,bourgeois,A,néant
tc0126-ARLEQUIN,,H,bourgeois,A,néant
tc0126-GILLES,,H,bourgeois,A,néant
tc0126-BALOURD,,H,auteur,A,néant
tc0126-LIMPRIMEUR,,H,imprimeur,A,néant
tc0126-LEPROTE,,H,prote,A,néant
tc0126-DEUXCOLPORTEURS,,H,colporteur,A,néant
tc0168-FONTAUBIN,,H,aristocrate,A,néant
tc0168-HENRIETTE,,H,aristocrate,J,néant
tc0168-LICASTE,,H,aristocrate,J,Henriette
tc0168-MONSIEURMANANVILLE,,H,usurier,A,néant
tc0168-MADAMEMANANVILLE,,H,bourgeois,A,néant
tc0168-LEBARONdelaGRUAUDIERE,,H,baron,A,néant
tc0168-COLAS,,H,paysan,A,néant
tc0168-FRONTIN,,H,valet,A,néant
tc0168-LISETTE,,F,suivante,A,néant
tc0168-RAGOTIN,,H,domestique,A,néant
tc0168-LAVERDURE,,H,domestique,A,néant
tc0168-JASMIN,,H,domestique,A,néant
tc0168-DOMMESTIQUESdeMONSIEURMANANVILLE,,H,domestique,A,néant
tc0168-MUSICIENSetDANSEURS,,H,musicien,A,néant
tc0805-LAVOLUPTE,,P,allégorie,A,néant
tc0805-PLAISIRSETAMOURS,,P,allégorie,A,néant
tc0805-BACCHUS,,H,dieu,A,néant
tc0805-HERCULE,,H,demi-dieu,A,néant
tc0805-LAVERTU,,H,allégorie,A,néant
tc0805-SUIVANTSDELAVERTU,,H,suivants,A,néant
tc0805-SAMSON,,H,roi,A,néant
tc0805-DALILA,,H,prince,A,néant
tc0805-LEROIDESPHILISTINS,,H,roi,A,néant
tc0805-LEGRANDPRETRE,,H,prêtre,A,néant
tc0805-LESCHOEURS,,H,choeur,A,néant
tc0321-APOLLON,,D,dieu,A,néant
tc0321-MELPOMENE,,D,muse,A,néant
tc0321-THALIE,,D,muse,A,néant
tc0321-MOLIERE,,H,écrivain,A,néant
tc0321-MONSIEURBAPTISTE,,H,poète,A,néant
tc0321-MONSIEURMISOGRAMME,,H,négociant,A,néant
tc0321-LEVAUDEVILLE,,P,allegorie,A,néant
tc0321-DUDRAME,,D,muse,A,néant
tc0321-MUSES,,D,muse,A,néant
tc0131-LEPRECHEUR,,H,bourgeois,A,néant
tc0131-LECUISINIER,,H,curé,A,néant
tc0563-GERONTE,,H,aristocrate,V,néant
tc0563-DORANTE,,H,aristocrate,J,néant
tc0563-ALCIPPE,,H,aristocrate,A,amoureux
tc0563-PHILISTE,,H,aristocrate,A,néant
tc0563-CLARICE,,H,aristocrate,A,amoureux
tc0563-LUCRECE,,H,aristocrate,A,néant
tc0563-ISABELLE,,H,suivante,A,néant
tc0563-SABINE,,H,femme de chambre,A,néant
tc0563-CLITON,,H,valet,A,néant
tc0563-LYCAS,,H,valet,A,néant
tc0250-DONJEANDECARCAME,,H,,A,Précieuse
tc0250-PRECIEUSE,,H,bourgeois,A,néant
tc0250-LAVIEILLE,,H,bourgeois,V,néant
tc0250-LEPOETE,,H,poète,A,précieuse
tc0250-LECAPITAINE,,H,capitaine,A,néant
tc0250-LATROUPE,,H,,A,néant
tc0250-FERDINAND,,H,sénéchal,A,néant
tc0250-ISABELLE,,H,bourgeois,A,néant
tc0250-HIPOLITE,,H,aristocrate,A,Andres
tc0250-LEPREVOT,,H,prévôt,A,néant
tc0250-LESARCHERS,,H,archer,A,néant
tc0250-UNVALET,,H,valet,A,néant
tc0888-FINOT,,H,valet,A,néant
tc0888-MADAMECOCASSE,,H,bourgeois,A,néant
tc0888-BARBE,,H,bourgeois,A,néant
tc0888-PLAISANTIN,,H,bourgeois,A,néant
tc0888-DOUBLE-SENS,,H,maçon,A,néant
tc0888-TAXE,,H,vérificateur dss contributions,A,néant
tc0888-,,H,notaire,A,néant
tc0252-TAMERLAN,,H,empereur,A,amoureux
tc0252-BAJAZET,,H,empereur,A,néant
tc0252-ASTERIE,,F,prince,A,amoureux
tc0252-ANDRONIC,,H,prince,A,amoureux
tc0252-LEON,,H,confident,A,néant
tc0252-TAMUR,,H,capitaine,A,néant
tc0252-ZAÏDE,,F,confident,A,néant
tc0252-GARDES,,H,gardes,A,néant
tc0780-LE-COMTE,,H,comte,A,néant
tc0780-LA-MARQUISE,,H,marquis,A,néant
tc0780-HORTENSE,,H,aristocrate,A,néant
tc0780-ROSIMOND,,H,aristocrate,A,néant
tc0780-DORIMENE,,H,aristocrate,A,néant
tc0780-DORANTE,,H,aristocrate,A,néant
tc0780-MARTON,,H,suivante,A,néant
tc0780-FRONTIN,,H,valet,A,néant
tc0494-,,H,,A,néant
tc0494-,,H,,A,néant
tc0494-,,H,,A,Julie
tc0494-,,H,,A,Roméo
tc0494-,,H,,A,néant
tc0494-,,H,,A,néant
tc0494-,,H,,A,néant
tc0494-,,H,,A,néant
tc0568-TIRSIS,,H,bourgeois,A,amoureux
tc0568-PHILEMON,,H,bourgeois,A,néant
tc0568-POLIDOR,,H,bourgeois,A,amoureux
tc0568-DORIMENE,,H,bourgeois,A,amoureux
tc0568-FLORICE,,H,bourgeois,A,néant
tc0568-LISETTE,,H,villageois,A,néant
tc0568-GUILLAUME,,H,vigneron,A,néant
tc0568-OLENIE,,H,bourgeoise,A,néant
tc0568-CRISERE,,H,bourgeois,A,néant
tc0568-DORIPE,,H,bourgeois,A,néant
tc0568-ORMIN,,H,villageois,A,néant
tc0292-LAFEE,,H,fée,A,néant
tc0292-TRIVELIN,,H,domestique,A,néant
tc0292-ARLEQUIN,,H,bourgeois,A,néant
tc0292-SILVIA,,H,berger,A,néant
tc0292-BERGER,,H,berger,A,Silvia
tc0292-BERGERE,,H,berger,A,néant
tc0292-DANSEURSETCHANTEURS,,H,danseur,A,néant
tc0292-TROUPEDELUTINS,,H,lutin,A,néant
tc0012-MONSIEURBONHUMAIN,,H,intendant,A,néant
tc0012-MONSIEURTAMARIN,,H,apothicaire,A,néant
tc0012-LECHEVALIERSANDIS,,H,chevalier,A,néant
tc0012-COLIN,,H,bourgeois,A,néant
tc0012-LAMEREBAZU,,H,bourgeois,A,néant
tc0012-BABET,,H,bourgeois,J,néant
tc0012-VILLAGEOIS,,H,peuple,A,néant
tc0274-LOTHAIRE,,H,roi,A,néant
tc0274-RAIMOND,,H,duc,A,néant
tc0274-EMRENE,,H,roi,A,néant
tc0274-VALRADE,,H,roi,A,néant
tc0274-ARSENE,,H,Légat du Pape,A,néant
tc0274-GONTIER,,H,officier,A,néant
tc0274-MORANGE,,H,suivante,A,néant
tc0274-GARDES,,H,soldat,A,néant
tc0274-LEPEUPLE,,H,peuple,A,néant
tc0274-PRETRES,,H,prêtre,A,néant
tc0864-CLEON,,H,commandant,A,néant
tc0864-HORTENSE,,H,bourgeois,A,néant
tc0864-ARISTON,,H,bourgeois,A,néant
tc0864-CLITANDRE,,H,bourgeois,A,néant
tc0864-ZOILIN,,H,bourgeois,A,néant
tc0864-NICODON,,H,bourgeois,A,néant
tc0864-LAURE,,H,suivante,A,néant
tc0864-EXEMPT,,H,exempt,A,néant
tc0864-LA-FLEUR,,H,valet,A,néant
tc0864-LAQUAIS,,H,laquais,A,néant
tc0864-GARDES,,H,garde,A,néant
tc0864-PLUSIEURS_VALETS,,H,valet,A,néant
tc0748-OSTORIUS,,H,sénateur,A,Sarcide
tc0748-DIDIUS,,H,chevalier,A,néant
tc0748-CARACTACUS,,H,roi,A,néant
tc0748-LEPRINCEDESILURE,,H,prince,J,Sarcide
tc0748-CARTIDE,,H,roi,A,néant
tc0748-SARCIDE,,H,prince,J,Le Prince
tc0748-LEONICE,,H,confidente,A,néant
tc0566-LAPAIX,,P,allégorie,A,néant
tc0566-SUITEDELAPAIX,,P,suite,A,néant
tc0566-LFELICITE,,P,allégorie,A,néant
tc0566-LABONDANCE,,P,allégorie,A,néant
tc0566-LESJEUX,,P,personnification,A,néant
tc0566-LESPLAISIRS,,P,personnification,A,néant
tc0566-LESJEUXCHANTANTS,,P,personnification,A,néant
tc0566-LESPLAISIRSCHANTANTS,,P,personnification,A,néant
tc0566-LESJEUXDANSANTS,,P,personnification,A,néant
tc0566-LESPLAISIRSDANSANTS,,P,personnification,A,néant
tc0566-LADISCORDE,,P,allégorie,A,néant
tc0566-LASUITEDELADISCORDE,,P,suite,A,néant
tc0566-LAJALOUSIE,,P,allégorie,A,néant
tc0566-LAHAINE,,P,allégorie,A,néant
tc0566-LADEPIT,,P,allégorie,A,néant
tc0566-LARAGE,,P,allégorie,A,néant
tc0566-LADESESPOIR,,P,allégorie,A,néant
tc0566-LESCHAGRINS,,P,allégorie,A,néant
tc0566-SUIVANTSDELADISCORDECHANTANTS,,P,suite,A,néant
tc0566-SUIVANTSDELADISCORDEDANSANTS,,P,suite,A,néant
tc0566-VICTOIRE,,P,allégorie,A,néant
tc0566-SUITEDELAVICTOIRE,,P,suite,A,néant
tc0566-TROUPEDEVICTOIRESETDEHEROS,,P,allégorie,A,néant
tc0566-CERES,,D,dieu,A,néant
tc0566-CYANE,,D,nymphe,A,néant
tc0566-CRINISE,,D,dieu,A,néant
tc0566-MERCURE,,D,dieu,A,néant
tc0566-ARETHUSE,,D,nymphe,A,néant
tc0566-ALPHEE,,D,dieu,A,néant
tc0566-PROSERPINE,,D,dieu,A,néant
tc0566-NYMPHES,,D,nymphe,A,néant
tc0566-DIEUXDESBOIS,,D,dieu,A,néant
tc0566-HABITANTS_SICILE,,D,peuple,A,néant
tc0566-PLUTON,,D,dieu,A,néant
tc0566-ASCALAPHE,,D,dieu,A,néant
tc0566-DIVINITESINFERNALES,,D,dieu,A,néant
tc0566-SUIVANTSDECERES,,D,suivant,A,néant
tc0566-OMBRESHEUREUSES,,D,ombre,A,néant
tc0566-TROISJUGESDELENFER,,D,dieu,A,néant
tc0566-TROISFURIES,,D,furie,A,néant
tc0566-JUPITER,,D,dieu,A,néant
tc0566-AMOUR,,D,dieu,A,néant
tc0566-HYMENEE,,D,dieu,A,néant
tc0566-VENUS,,D,dieu,A,néant
tc0566-PALLAS,,D,dieu,A,néant
tc0566-APOLLON,,D,dieu,A,néant
tc0566-MARS,,D,dieu,A,néant
tc0566-DIVINITESCELESTES,,D,dieu,A,néant
tc0566-DIVINITESDELASUITEDEPLUTON,,D,dieu,A,néant
tc0566-VERTUMNE,,D,dieu,A,néant
tc0566-FLORE,,D,dieu,A,néant
tc0566-POMONE,,D,dieu,A,néant
tc0566-DIVINITESDELATERRE,,D,dieu,A,néant
tc0848-LA-COMTESSE,,H,comte,A,amoureux
tc0848-LA-MARQUISE,,H,marquis,A,amoureux
tc0848-LISETTE,,H,paysan,A,néant
tc0848-DORANTE,,H,aristocrate,A,amoureux
tc0848-LE-CHEVALIER,,H,chevalier,A,amoureux
tc0848-BLAISE,,H,paysan,A,néant
tc0848-FRONTIN,,H,valet,A,néant
tc0848-ARLEQUIN,,H,valet,A,néant
tc0634-LAMOUR,,D,dieu,A,néant
tc0634-CUPIDON,,D,dieu,A,néant
tc0634-MERCURE,,D,dieu,A,néant
tc0634-PLUTUS,,D,dieu,A,néant
tc0634-APOLLON,,D,dieu,A,néant
tc0634-LA-VERITE,,P,allégorie,A,néant
tc0634-MINERVE,,D,dieu,A,néant
tc0634-LAVERTU,,P,allégorie,A,néant
tc0618-SERTORIUS,,H,général,A,néant
tc0618-PERMENNA,,H,lieutenant,A,néant
tc0618-AUPIDE,,H,tribun,A,néant
tc0618-POMPEE,,H,général,A,néant
tc0618-ARISTIE,,H,aristocrate,A,Pompée
tc0618-VIRIATE,,H,roi,A,néant
tc0618-THAMIRE,,H,dame d'honneur,A,néant
tc0618-CELSUS,,H,tribun,A,néant
tc0618-ARCAS,,H,affranchi,A,néant
tc0693-MONSIEURGRIFON,,H,bourgeois,A,néant
tc0693-VALERE,,H,bourgeois,A,amoureux
tc0693-MADAMEARGANTE,,H,bourgeois,A,néant
tc0693-LEONORE,,H,bourgeois,A,néant
tc0693-MONSIEURMATHIEU,,H,bourgeois,A,néant
tc0693-SCAPIN,,H,valet,A,néant
tc0693-MARINE,,H,servante,A,néant
tc0693-CHAMPAGNE,,H,valet,A,néant
tc0693-MUSICIENS,,H,musicien,A,néant
tc0693-DANSEURS,,H,danseur,A,néant
tc0601-DONJUAN,,H,aristocrate,A,néant
tc0601-ARLEQUIN,,H,valet,A,néant
tc0601-LECOMMANDEUR,,H,commandeur,A,néant
tc0601-PIERROT,,H,paysan,A,néant
tc0601-FANCHON,,H,paysan,A,néant
tc0601-ISABELLE,,H,paysan,A,néant
tc0601-COLOMBINE,,H,paysan,A,néant
tc0601-UNBERGER,,H,berger,A,néant
tc0601-UNEBERGERE,,H,berger,A,néant
tc0701-DON-GARCIE,,H,aristocrate,A,néant
tc0701-DON-BERTRAN,,H,aristocrate,A,néant
tc0701-DON-ALVAR,,H,aristocrate,A,néant
tc0701-DON-FELIX,,H,aristocrate,A,amoureux
tc0701-LEONOR,,H,aristocrate,A,néant
tc0701-ISABELLE,,H,aristocrate,A,amoureux
tc0701-JACINTE,,H,suivante,A,néant
tc0701-GUZMAN,,H,valet,A,néant
tc0701-MENDOCE,,H,valet,A,néant
tc0442-EDIEULARE,,D,dieu,A,néant
tc0442-EUCLION,,H,bourgeois,V,néant
tc0442-STAPHYLA,,H,servante,V,néant
tc0442-EUNOMIE,,H,bourgeois,V,néant
tc0442-MEGADORE,,H,bourgeois,V,néant
tc0442-STROBILE,,H,esclave,A,néant
tc0442-ANTHRAX,,H,cuisinier,A,néant
tc0442-CONGRION,,H,cuisinier,A,néant
tc0442-PYTHODICUS,,H,esclave,A,néant
tc0442-LYCONIDE,,H,bourgeois,A,Phédra
tc0442-PHEDRA,,H,bourgeois,A,néant
tc0660-LE-COMTE,,,,,
tc0660-LA-MARQUISE,,,,,
tc0660-ANGELIQUE,,,,,
tc0660-DORANTE,,,,,
tc0660-LE-CHEVALIER,,,,,
tc0660-PYRANTE,,,,,
tc0660-NERINE,,,,,
tc0660-FALAISE,,,,,
tc0660-DEUX-LAQUAIS,,,,,
tc0148-DUMONT,,H,bourgeois,A,néant
tc0148-LISE,,H,bourgeois,A,néant
tc0148-MADAMEDORVAL,,H,bourgeois,A,néant
tc0148-DORVAL,,H,bourgeois,A,néant
tc0148-MARTON,,H,bourgeois,A,néant
tc0148-FRONTIN,,H,bourgeois,A,néant
tc0124-SPARTACUS,,H,esclave,A,néant
tc0124-CHASSUS,,H,consul,A,néant
tc0124-EMILIE,,H,consul,A,néant
tc0124-MESSALA,,H,aristocrate,A,néant
tc0124-NORICUS,,H,général,A,néant
tc0124-ALBIN,,H,officier,A,néant
tc0124-SUNNON,,H,confident,A,néant
tc0124-SABINE,,H,confident,A,néant
tc0124-UNTRIBUNdeSPARTACUS,,H,tribu,A,néant
tc0124-UNTRIBUNdeCRASSUS,,H,tribun,A,néant
tc0124-GARDES,,H,garde,A,néant
tc0534-ATHENA,,D,dieu,A,néant
tc0534-ULYSSE,,H,roi,A,néant
tc0534-AJAX,,H,roi,A,Tecmesse
tc0534-TECMESSE,,H,roi,A,Ajax
tc0534-LECHOEUR,,H,prince,A,néant
tc0534-TEUCROS,,H,roi,A,néant
tc0534-MENELAS,,H,roi,A,néant
tc0534-AGAMEMNON,,H,roi,V,néant
tc0392-PAN,,H,aristocrate,A,néant
tc0392-AYMELIS,,H,aristocrate,A,néant
tc0392-LEONTINE,,H,aristocrate,A,néant
tc0392-ALMINDOR,,H,aristocrate,A,néant
tc0392-ARGANTE,,H,aristocrate,A,néant
tc0392-LUCIDOR,,H,aristocrate,A,néant
tc0392-SOLON,,H,aristocrate,A,néant
tc0392-ALECTON,,D,furie,A,néant
tc0392-THESIPHONE,,D,furie,A,néant
tc0392-MEGERE,,D,furie,A,néant
tc0392-ANGE,,P,ange,A,néant
tc0392-GALLIGAY,,H,aristocrate,A,néant
tc0392-PREMIERCONSEILLER,,H,aristocrate,A,néant
tc0392-SECONDCONSEILLER,,H,aristocrate,A,néant
tc0392-EXECUTEUR,,H,bourreau,A,néant
tc0392-OMBRECONCHINE,,O,fantôme,M,néant
tc0392-TENECRION,,H,aristocrate,A,néant
tc0392-PREMIERDOCTEUR,,H,docteur,A,néant
tc0392-SECONDDOCTEUR,,H,docteur,A,néant
tc0392-OMBREDEGALLIGAY,,O,fantôme,M,néant
tc0315-BRUTE,,H,général,A,néant
tc0315-CASSIE,,H,général,A,néant
tc0315-PORCIE,,H,aristocrate,A,néant
tc0315-JULIE,,H,confident,A,néant
tc0315-MAXIME,,H,aristocrate,A,néant
tc0315-OCTAVE,,H,triumvir,A,néant
tc0315-VALERE,,H,cpitaine,A,néant
tc0315-PHILIPE,,H,affranchi,A,néant
tc0315-TITE,,H,aristocrate,A,néant
tc0315-SOLDATSDEBRUTE,,H,soldat,A,néant
tc0315-SOLDATSDOCTAVE,,H,soldat,A,néant
tc0645-MONSIEURDELEURMONT,,H,maître des comptes,A,néant
tc0645-MADEMOISELLEAGATHE,,H,bourgeois,J,néant
tc0645-MONSIEURDESAINT-IVALpère,,H,payeur de rentes,A,néant
tc0645-MONSIEURDESAINT-IVAL,,H,aristocrate,J,néant
tc0645-LABRIE,,H,laquais,A,néant
tc0645-LAURENT,,H,jardinier,A,néant
tc0645-MONSIEURLECHALAS,,H,jardinier,A,néant
tc0645-LECOMMISSAIRE,,H,commissaire,A,néant
tc0645-ARCHERS,,H,archer,A,néant
tc0325-IRENE,,H,bourgeois,A,néant
tc0325-UNEGOUVERNANTE,,H,gouvernante,A,néant
tc0325-ABDALLA,,H,,A,néant
tc0325-CONSEILLERSPRIVESDUBARON,,H,,A,néant
tc0325-HOBEREAUXETFILLESDOTRANTE,,H,,A,néant
tc0325-TROUPEDETURCS,,H,,A,néant
tc0092-ARTAXERCE,,H,roi,A,néant
tc0092-PALMIS,,H,prince,J,néant
tc0092-ARTEMISE,,H,prince,J,néant
tc0092-PHARNABAZE,,H,soldat,A,néant
tc0092-ALCIBIADE,,H,général,A,néant
tc0092-AMESTRIS,,H,gouvernante,A,néant
tc0092-BARSINE,,H,confident,A,néant
tc0092-AMINTAS,,H,confident,A,néant
tc0092-MEMNON,,H,officier,A,néant
tc0092-GARDES,,H,garde,A,néant
tc0251-GALBA,,H,empereur,A,néant
tc0251-VINIUS,,H,consul,A,néant
tc0251-OTHON,,H,sénateur,A,Plautine
tc0251-LACUS,,H,préfet romain,A,néant
tc0251-CAMILLE,,H,aristocrate,J,néant
tc0251-PLAUTINE,,H,aristocrate,J,Othon
tc0251-MARTIAN,,H,affranchi,A,néant
tc0251-ALBIN,,H,aristocrate,A,néant
tc0251-ALBIANE,,H,dame d'honneur,A,néant
tc0251-FLAVIE,,H,aristocrate,A,néant
tc0251-ATTICUS,,H,soldat,A,néant
tc0251-RUTO,,H,soldat,A,néant
tc0388-CLEOPATRE,,H,roi,A,néant
tc0388-SELEUCUS,,H,prince,J,néant
tc0388-ANTIOCHUS,,H,prince,J,néant
tc0388-RODOGUNE,,H,prince,A,néant
tc0388-TIMAGENE,,H,gouverneur,A,néant
tc0388-ORONTE,,H,ambassadeur,A,néant
tc0388-LAONICE,,H,confidente,A,néant
tc0228-DONGUSMAN,,H,gouverneur,A,néant
tc0228-DONALVARES,,H,gouverneur,A,néant
tc0228-ZAMORE,,H,roi,A,néant
tc0228-MONTEZE,,H,roi,A,néant
tc0228-ALZIRE,,H,prince,A,néant
tc0228-EMIRE,,H,suivante,A,néant
tc0228-CEPHALE,,H,suivante,A,néant
tc0228-OFFICIERSESPAGNOLS,,H,officier,A,néant
tc0228-AMERICAINS,,H,peuple,A,néant
tc0603-GERMANICUS,,H,aristocrate,A,néant
tc0603-DRUSUS,,H,aristocrate,A,néant
tc0603-AGRIPPINE,,H,aristocrate,J,néant
tc0603-LIVIE,,H,aristocrate,A,néant
tc0603-PISON,,H,chevalier,A,néant
tc0603-FLAVIE,,H,confident,A,néant
tc0603-ALBIN,,H,confident,A,néant
tc0603-FLAVIAN,,H,confident,A,néant
tc0237-L-EMPEREUR,,H,empereur,A,néant
tc0237-IRENE,,H,prince,J,néant
tc0237-ANDRONIC,,H,prince,A,néant
tc0237-LEON,,H,ministre,A,néant
tc0237-MARCENE,,H,ministre,A,néant
tc0237-LEONCE,,H,ambassadeur,A,néant
tc0237-EUDOXE,,H,gouvernante,A,néant
tc0237-NARCEE,,H,confident,A,néant
tc0237-MARTIAN,,H,confident,A,néant
tc0237-ASPAR,,H,officier,A,néant
tc0237-GELAS,,H,officier,A,néant
tc0237-CRISPE,,H,officier,A,néant
tc0237-GARDES,,H,garde,A,néant
tc0233-BRUTE,,H,empereur,A,néant
tc0233-TITE,,H,aristocrate,J,néant
tc0233-TIBERE,,H,aristocrate,J,néant
tc0233-VITELLE,,H,aristocrate,A,néant
tc0233-JUNIE,,H,aristocrate,A,néant
tc0233-TULLIE,,H,aristocrate,J,néant
tc0233-MARCELLE,,H,confident,A,néant
tc0233-LIVIE,,H,confident,A,néant
tc0233-MARCELLIN,,H,suivant,A,néant
tc0233-JULIE,,H,suivant,A,néant
tc0233-GARDES,,H,garde,A,néant
tc0846-MONSIEURGROGNAC,,H,bourgeois,A,néant
tc0846-MADAMEJAQUINET,,H,bourgeois,A,néant
tc0846-MONSIEURFILASSIER,,H,bourgeois,A,néant
tc0846-ANGELIQUE,,H,bourgeois,A,néant
tc0846-MIMI,,H,bourgeois,E,néant
tc0846-CLITANDRE,,H,bourgeois,A,néant
tc0846-LOLIVE,,H,valet,A,néant
tc0846-LISETTE,,H,servante,A,néant
tc0846-,,H,bourgeois,A,néant
tc0110-COLOMBINE,,H,hôtesse,A,néant
tc0110-CLAUDINE,,H,servante,A,néant
tc0110-SCARAMOUCHE,,H,garçon de cabaret,A,néant
tc0110-TRIVELIN,,H,bourgeois,A,néant
tc0110-FINEBRETTE,,H,soldat,A,néant
tc0110-LEMAGISTER,,H,magister,A,néant
tc0110-LUCAS,,H,paysan,A,néant
tc0110-PAYSANS,,H,paysan,A,néant
tc0110-SIMOX,,H,bourgeois,V,néant
tc0110-GUILLAUME,,H,cuisinier,A,néant
tc0110-BLAISE,,H,bourgeois,A,néant
tc0036-ALPHONSE,,H,roi,A,marié
tc0036-LAREINE,,H,roi,A,marié
tc0036-CONSTANCE,,H,princesse,J,promis
tc0036-DONPEDRE,,H,prince,A,promis
tc0036-INES,,H,fille d'honneur,A,marié
tc0036-DONRODRIGUE,,H,prince,A,néant
tc0036-DONENRIQUE,,H,aristocrate,A,néant
tc0036-GRANDSDUPORTUGAL,,H,aristocrate,A,néant
tc0036-LAMBASSADEUR,,H,ambassadeur,A,néant
tc0036-DONFERNAND,,H,domestique,A,néant
tc0036-GOUVERNANTE,,H,gouvernate,A,néant
tc0036-ENFANTS,,H,enfant,E,néant
tc0036-GARDE,,H,garde,A,néant
tc0303-NIVELET,,H,procureur fiscal,A,néant
tc0303-LEBARONDEPLAT-GOUSSET,,H,baron,A,néant
tc0303-LA-COMTESSE-DE-LA-GINGANDIERE,,H,comte,A,néant
tc0303-LA-BARONNE,,H,baron,A,néant
tc0303-LE-MARQUIS-DE-ROUSSIGNAC,,H,marquis,A,néant
tc0303-MONSIEUR-BONAVENTURE,,H,bourgeois,A,néant
tc0303-CLAUDINE,,H,servante,A,néant
tc0271-LETRIACLEUR,,H,colporteur,A,néant
tc0271-LEPARDONNER,,H,prêtre,A,néant
tc0271-LATAVERNIERE,,H,commerçant,A,néant
tc0436-MADAMEDUMENY,,H,aristocrate,A,néant
tc0436-MADEMOISELLEDUMENY,,H,aristocrate,A,néant
tc0436-MADEMOISELLEDELETANG,,H,aristocrate,A,néant
tc0436-MADAMEDECASSAGNE,,H,aristocrate,A,néant
tc0436-LEMARQUIS,,H,marquis,A,Mademoiselle de Létang
tc0436-LECHEVALIER,,H,chevalier,A,Mademoiselle de Cassagne
tc0436-UNMAITREACHANTER,,H,maître à chanter,A,néant
