role_id,civil,type,statut,age,stat_amour
tc0556-ARISTODEME,,H,prince,A,néant
tc0556-ALCIDAMAS,,H,prince,A,néant
tc0556-CRESPHONTE,,H,roi,J,néant
tc0556-ARGIE,,H,aristocrate,A,néant
tc0556-MEROPE,,H,aristocrate,J,néant
tc0556-ALCMENE,,H,confidente,A,néant
tc0556-ARCAS,,H,messager,A,néant
tc0556-SOLDATS,,H,soldat,A,néant
tc0337-VENUS,,D,dieu,A,néant
tc0337-HIPPOLYTE,,H,prince,A,néant
tc0337-SUIVANTSDHIPPOLYTE,,H,suivant,A,néant
tc0337-UNSERVITEUR,,H,serviteur,A,néant
tc0337-LANOURRICEDEPHEDRE,,H,nourrice,V,
tc0337-PHEDRE,,H,roi,A,Hippolyte
tc0337-LECHOEUR,,H,choeur,A,néant
tc0337-THESEE,,H,roi,A,Phèdre
tc0337-UNMESSAGER,,H,messager,A,néant
tc0337-DIANE,,D,dieu,A,néant
tc0080-IOLAS,,H,aristocrate,V,néant
tc0080-COPREE,,H,héraut,A,néant
tc0080-LECHOEUR,,H,choeur,V,néant
tc0080-DEMOPHON,,H,roi,A,néant
tc0080-ACAMAS,,H,prince,A,néant
tc0080-MACARIE,,H,aristocrate,J,néant
tc0080-UNSERVITEUR,,H,serviteur,A,néant
tc0080-ALCMENE,,H,aristocrate,A,néant
tc0080-UNMESSAGER,,H,messager,A,néant
tc0080-EURYSTHEE,,H,roi,A,néant
tc0037-ISABELLE,,F,bougeois,A,amoureux
tc0037-MARINE,,F,servante,A,néant
tc0037-PANFILE,,F,bourgeois,V,néant
tc0037-TERSANDRE,,F,bourgeois,A,amoureux
tc0037-RAGOTIN,,F,domestique,A,néant
tc0037-LEDOCTEUR,,F,docteur,A,amoureux
tc0527-EUDOXIE,,H,aristocrate,A,néant
tc0527-ELISE,,H,suivante,A,néant
tc0527-ARBATE,,H,aristocrate,A,néant
tc0527-ASPAR,,H,général,A,néant
tc0527-MAXIME,,H,empereur,A,néant
tc0527-FLAVIUS,,H,aristocrate,A,néant
tc0527-ADONAL,,H,aristocrate,A,néant
tc0527-GONTHARIS,,H,aristocrate,A,néant
tc0527-LEONCE,,H,aristocrate,A,néant
tc0467-DIOCLETIAN,,H,empereur,A,néant
tc0467-AQUILLIN,,H,aristocrate,A,néant
tc0467-RUTILE,,H,conseiller d'état,A,néant
tc0467-GENEST,,H,comédien,A,néant
tc0467-ARISTIDE,,H,confident,A,néant
tc0467-ANTHENOR,,H,bourgeois,A,néant
tc0467-PAMPHILIE,,H,bourgeois,A,néant
tc0467-LUCIANE,,H,bourgeois,A,néant
tc0467-GARDES,,H,garde,A,néant
tc0474-TITUS,,H,empereur,A,néant
tc0474-BERENICE,,H,roi,A,néant
tc0474-ANTIOCHUS,,H,roi,A,néant
tc0474-PAULIN,,H,confident,A,néant
tc0474-ARSACE,,H,confident,A,néant
tc0474-PHENICE,,H,confident,A,néant
tc0474-RUTILE,,H,aristocrate,A,néant
tc0474-SUITE,,H,suite,A,néant
tc0859-LYSIS,,H,berger,A,amoureux
tc0859-HYLAS,,H,berger,A,amoureux
tc0859-SYLVIE,,H,berger,A,Lysis
tc0859-CHOEUR,,H,berger,A,néant
tc0859-TIMERETTE,,H,confident,A,néant
tc0768-NICANDRE,,H,sénateur,A,néant
tc0768-ANAXIMENE,,H,sénateur,A,néant
tc0768-PHORBAS,,H,sénateur,A,néant
tc0768-MIRTO,,H,aristocrate,A,néant
tc0768-CARITE,,H,aristocrate,A,néant
tc0768-LISIS,,H,aristocrate,A,Carite
tc0768-ARISTEME,,H,aristocrate,A,Carite
tc0768-TERGALION,,H,messager,A,néant
tc0768-DROMON,,H,valet,A,néant
tc0768-UN-ESCLAVE,,H,esclave,A,néant
tc0625-LAMOUR,,H,dieu,A,néant
tc0625-ZELIS,,H,héros,A,néant
tc0625-HILAS,,H,héros,A,néant
tc0625-NYMPHES,,D,nymphe,A,néant
tc0625-SUIVANTSDELAMOUR,,H,suivant,A,néant
tc0625-CHOEUR,,H,peuple,A,néant
tc0163-ERASTE,,H,aristocrate,V,Isabelle
tc0163-ISABELLE,,H,aristocrate,V,Eraste
tc0163-PASQUIN,,H,valet,V,Marton
tc0163-MARTON,,H,suivante,V,Pasquin
tc0163-MONSIEURDUCONTOIR,,H,marchand,V,néant
tc0163-GROS-JEAN,,H,cabaretier,V,néant
tc0055-JULESCESAR,,H,empereur,A,amoureux
tc0055-ANTOINE,,H,général,A,néant
tc0055-CORNELIE,,H,aristocrate,A,néant
tc0055-PTOLEMEE,,H,roi,A,néant
tc0055-CLEOPATRE,,H,aristocrate,A,amoureux
tc0055-PHOTIN,,H,ministre,A,néant
tc0055-ACHILLAS,,H,général,A,néant
tc0055-SEPTIME,,H,tribun,A,néant
tc0055-CHARMION,,H,dame d'honneur,A,néant
tc0055-ACHOREE,,H,écuyer,A,néant
tc0055-PHILIPPE,,H,affranchi,A,néant
tc0055-ROMAINS,,H,soldat,A,néant
tc0055-EGYPTIENS,,H,soldat,A,néant
tc0395-THEMIRE,,H,aristocrate,A,néant
tc0395-MONSIEURCLOPIN,,H,bourgeois,A,néant
tc0395-MADAMECLOPIN,,H,bourgeois,A,néant
tc0395-UNMARQUIS,,H,marquis,A,néant
tc0395-JULIE,,H,bourgeois,A,néant
tc0395-LINDOR,,H,bourgeois,A,néant
tc0395-UNEDEPUTEE,,H,député,A,néant
tc0395-UNDEPUTE,,H,député,A,néant
tc0395-TROUPEDEFEMMES,,H,peuple,A,néant
tc0395-TROUPEDHOMMES,,H,peuple,A,néant
tc0038-OENARUS,,H,roi,A,néant
tc0038-THESEE,,H,roi,A,néant
tc0038-PIRITHOUS,,H,roi,A,néant
tc0038-ARIANE,,H,prince,A,néant
tc0038-PHEDRE,,H,prince,A,néant
tc0038-NERINE,,H,confident,A,néant
tc0038-ARCAS,,H,confident,A,néant
tc0341-LE-MARQUIS,,H,marquis,A,néant
tc0341-LE-CHEVALIER,,H,chevalier,A,néant
tc0341-LA-COMTESSE,,H,comtesse,A,néant
tc0341-LE-CONSEILLER,,H,conseiller,A,néant
tc0341-LE-GOUVERNEUR,,H,gouverneur,A,néant
tc0341-PARMENES,,H,bourgeois,A,néant
tc0341-FLORIS,,H,bourgeois,A,néant
tc0341-BLECTRUE,,H,conseiller,A,néant
tc0341-UNINSULAIRE,,H,peuple,A,néant
tc0341-UNEINSULAIRE,,H,peuple,A,néant
tc0341-MEGISTE,,H,domestique,A,néant
tc0341-SUITEDUGOUVERNEUR,,H,suite,A,néant
tc0341-LECOURTISAN,,H,aristocrate,A,néant
tc0341-LACOMTESSE,,H,comte,A,néant
tc0341-FONTIGNAC,,H,secrétaire,A,néant
tc0341-SPINETTE,,H,suivante,A,néant
tc0341-LEPOETE,,H,poète,A,néant
tc0341-LE-PHILOSOPHE,,H,philosophe,A,néant
tc0341-LEMEDECIN,,H,médecin,A,néant
tc0341-LEPAYSANBLAISE,,H,paysan,A,néant
