cligs_id,surname,forname,born,born_location,death,death_location,academie,author_string
tc0264,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0347,Dufresny,Charles Rivière,1657,Paris,1724,Paris,,DUFRESNY, Charles Rivière
tc0373,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0354,Regnard,,1655,Paris,1709,château de grillon, Dourdan,,REGNARD et DUFRESNY
tc0354,Dufresny,,1655,Paris,1709,château de grillon, Dourdan,,REGNARD et DUFRESNY
tc0295,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0509,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0574,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0047,Bensérade,Isaac de,1613,Lyons-la-Forêt,1691,Gentilly,1674,BENSÉRADE, Isaac de
tc0262,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0577,Molière,,1622,Paris,1673,Paris,,Molière
tc0282,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0409,Gouges,Olympe de Gouges,1748,Montauban,1793,Paris,,GOUGES, Olympe de Gouges
tc0040,Beaumarchais,Pierre Augustin Caron de,1732,Paris,1799,Paris,,BEAUMARCHAIS, Pierre Augustin Caron de
tc0054,Biancolelli pierre-françois (1680-1734),ROMAGNESI Jean-Antoine (1690-1742),1680,Paris,1734,Paris,,BIANCOLELLI Pierre-François (1680-1734), ROMAGNESI Jean-Antoine (1690-1742)
tc0728,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0764,Voisenon,Claude-Henri de Fusée de (1708-1775),1708,Paris,1775,Paris,,VOISENON, Claude-Henri de Fusée de (1708-1775)
tc0415,Guerin de bouscal,Daniel,161 ?,,1675,,,GUERIN de BOUSCAL, Daniel
tc0599,Ouville,Antoine le Métel,1589,Caen,1655,,,OUVILLE, Antoine le Métel
tc0571,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0319,Donneau de visé,Jean,1638,Paris,1710,Paris,,DONNEAU DE VISÉ, Jean
tc0244,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0174,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0324,Dorimond,Nicolas Drouin dit,1628,,1673,,,DORIMOND, Nicolas Drouin dit
tc0554,Moliere,,1622,Paris,1673,Paris,,MOLIERE
tc0507,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0082,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0583,Moline,Pierre-Louis,1740,Paris,1820,Paris,,MOLINE, Pierre-Louis
tc0129,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0586,Nadal,Augustin,1659,Poitiers,1741,,Poitiers,NADAL, Augustin
tc0426,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0247,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0475,La motte,Antoine-Houdard de,1672,Paris,1731,Paris,1710,LA MOTTE, Antoine-Houdard de
tc0480,Le boulanger de chalussay,,,,,,,LE BOULANGER DE CHALUSSAY
tc0204,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0734,Scudery,Geroges de,1601,Le Havre,1667,Paris,1650,SCUDERY, Geroges de
tc0654,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0697,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0206,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0738,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0765,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0510,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0431,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0008,Andrieux,François Guilaume Jean Stanislas,1759,Paris,1833,Paris,1802,ANDRIEUX, François Guilaume Jean Stanislas
tc0428,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0001,Aigueberre,Jean Dumas d',1692,,1655,,,AIGUEBERRE, Jean Dumas d'
tc0517,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0421,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0512,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0249,Cyrano,Hercule Savinien, dit CYRANO de BERGERAC,1619,Paris,1655,Sannois,,CYRANO, Hercule Savinien, dit CYRANO de BERGERAC
tc0300,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0721,Saurin,Jean de,1706,Paris,1781,Paris,1761,SAURIN, Jean de
tc0369,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0226,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0245,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0506,Maréchal,Pierre-Sylvain,1750,Paris,1803,Montrouge,,MARÉCHAL, Pierre-Sylvain
tc0137,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0283,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0366,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0175,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0225,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0700,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0471,La harpe,Jean-François de,1739,Paris,1803,Paris,,LA HARPE, Jean-François de
tc0116,Campistron,Jean G. de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean G. de
tc0158,Chevalier,Jean Simonin dit,16..,Dreux,1674,,,CHEVALIER, Jean Simonin dit
tc0242,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0136,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0342,Du fresny,Charles Rivière,1657,Paris,1724,Paris,,DU FRESNY, Charles Rivière
