cligs_id,surname,forname,born,born_location,death,death_location,academie,author_string
tc0600,Ouzicourt,M. d',1???,,17??,,,OUZICOURT, M. d'
tc0207,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0307,Desfontaines,Nicolas-Marc,1610,,1652,,,DESFONTAINES, Nicolas-Marc
tc0472,La harpe,Jean-François de,1739,Paris,1803,Paris,,LA HARPE, Jean-François de
tc0742,Segur,Alexandre-Joseph-Pierre, vicomte de,1756,,1805,Bagnères-de-Bigorre,,SEGUR, Alexandre-Joseph-Pierre, vicomte de
tc0285,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0218,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0212,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0305,Desfontaines,Nicolas-Marie dit,1610,,1652,,,DESFONTAINES, Nicolas-Marie dit
tc0059,Bideau de montigny,Jean Charles François,,,,,,BIDEAU DE MONTIGNY, Jean Charles François
tc0173,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0524,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0010,(anonyme),,,,,,,(anonyme)
tc0171,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0588,Nadal,Augustin,1659,Poitiers,1741,,Poitiers,NADAL, Augustin
tc0108,Brueys,,,,,,,BRUEYS et PALAPRAT
tc0108,Palaprat,,,,,,,BRUEYS et PALAPRAT
tc0378,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0239,Crébillon,Claude-Prosper Jolyot de, fils,1707,Dijon,1777,Paris,1731,CRÉBILLON, Claude-Prosper Jolyot de, fils
tc0334,Du bosc de montandre,Claude,1605,Paris,1658,Paris,,DU BOSC de MONTANDRE, Claude
tc0523,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0674,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0567,Moliere,,1622,Paris,1673,Paris,,MOLIERE
tc0552,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0699,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0456,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0469,La harpe,Jean-François de,1739,Paris,1803,Paris,,LA HARPE, Jean-François de
tc0260,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0263,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0747,Taconet,Toussaint-Gaspard,1730,Paris,1774,Paris,,TACONET, Toussaint-Gaspard
tc0328,Dorneval,Jacques-Philippe d'ORNEVAL dit,1686,Paris,1724,Passy,,DORNEVAL, Jacques-Philippe d'ORNEVAL dit
tc0774,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0333,Gazon-doruxigné,Sébastien-Marie-Mathurin,1720,,1784,Paris,,GAZON-DORUXIGNÉ, Sébastien-Marie-Mathurin
tc0072,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0221,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0172,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0619,Plancher de valcour,Philippe,1751,,1815,,,PLANCHER de VALCOUR, Philippe
tc0694,Rosimond,Jean-Baptiste du Mesnil dit Claude La Rose,1640,,1686,Paris,,ROSIMOND, Jean-Baptiste du Mesnil dit Claude La Rose
tc0188,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0464,La forge,Jean de,1606,Rouen,1684,Paris,1647,LA FORGE, Jean de
tc0339,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0461,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0730,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0675,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0754,Tristan l_hermite,François,1601,Château de Soliers, Marche,1655,Paris,,TRISTAN L_HERMITE, François
tc0293,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0280,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0775,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0749,Taconet,Toussaint-Gaspard,1730,Paris,1774,Paris,,TACONET, Toussaint-Gaspard
tc0170,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0020,Archambault,Louis-François,1742,Paris,1812,Paris,,ARCHAMBAULT, Louis-François
tc0457,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0079,Boucher,Pierre,1606,Rouen,1684,Paris,1647,BOUCHER, Pierre
tc0543,Mathieu,Pierre,1563,Salins,1621,Toulouse,,MATHIEU, Pierre
tc0098,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0090,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0435,Hauteroche,Noël LEBRETON, sieur de,1616,,1707,,,HAUTEROCHE, Noël LEBRETON, sieur de
tc0025,Dorvigny,Louis François Archambault dit,1742,Paris,1812,Paris,,DORVIGNY, Louis François Archambault dit
tc0789,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0195,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0627,Prade,Jean Le Royer de,1624,,1685,,,PRADE, Jean Le Royer de
tc0650,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0063,Bohaire-dutheil,Nicolas de,1750,La Ferté-sous-Jouarre,1825,La Ferté-sous-Jouarre,1701,BOHAIRE-DUTHEIL, Nicolas de
tc0327,Dorimond,Nicolas Drouin dit,1628,,1673,,,DORIMOND, Nicolas Drouin dit
tc0529,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0592,Nericault-destouches,Philippe,1680,,1754,,,NERICAULT-DESTOUCHES, Philippe
tc0150,Chabanon,Michel-Paul-Guy de,1730,Saint-Domingue,1792,Paris,,CHABANON, Michel-Paul-Guy de
tc0162,Colleville,Anne Hyacinthe Geille de Saint-Léger,1761,,1824,Dreux,,COLLEVILLE, Anne Hyacinthe Geille de Saint-Léger
tc0192,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0120,Carbon de flins,Claude de,1757,Reims,1806,Vervins,,CARBON DE FLINS, Claude de
tc0521,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0382,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0278,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0488,Legrand,Marc-Antoine,1673,Paris,1728,Paris,,LEGRAND, Marc-Antoine
tc0350,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0744,Somaize,Antoine BAUDEAU DE,1630,,16??,,,SOMAIZE, Antoine BAUDEAU DE
tc0651,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0801,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0002,Aigueberre,Jean Dumas d',1692,,1655,,,AIGUEBERRE, Jean Dumas d'
tc0422,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0544,Mercier,Louis-Sébatsien,1740,Paris,1814,Paris,,MERCIER, Louis-Sébatsien
tc0166,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0486,Legrand,Marc-Antoine,1673,Paris,1728,Paris,,LEGRAND, Marc-Antoine
tc0785,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0363,Feriol de pont-de-veyle,Antoine de,1697,Pont-de-Veyle,1774,Paris,1673,FERIOL DE PONT-DE-VEYLE, Antoine de
tc0060,Bièvre,François George Maréchal, marquis de,1747,Paris,1789,Bavière,,BIÈVRE, François George Maréchal, marquis de
tc0013,Anonyme,,,,,,,Anonyme
tc0782,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0367,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0255,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0538,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0014,Anonyme,,,,,,,Anonyme
tc0633,Puget de la serre,Jean,1594,Toulouse,1665,Paris,1825,PUGET DE LA SERRE, Jean
tc0041,Beaumarchais,Pierre Augustin Caron de,1732,Paris,1799,Paris,,BEAUMARCHAIS, Pierre Augustin Caron de
tc0070,Boissy,Louis de,1694,,1758,Paris,1754,BOISSY, Louis de
tc0235,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0716,Saint-evremond,Charles de,1613,Saint-Denis-le-Gast,1703,Londres,,SAINT-EVREMOND, Charles de
tc0330,Dorneval,LESAGE,,,,,,DORNEVAL, LESAGE
tc0006,Soulas d'allainval,Abbé Léonor Jean Christine,1700,Chartres,1753,Paris,,SOULAS d'ALLAINVAL, Abbé Léonor Jean Christine
tc0380,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0053,Biancolelli,Pierre François,1680,Paris,1734,Paris,,BIANCOLELLI, Pierre François
tc0531,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0425,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0751,(anonyme),,,,,,,(Anonyme)
tc0539,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0407,Gillet de la tessonerie,,1620,,166?,,,GILLET DE LA TESSONERIE
tc0498,Longepierre,Hilaire de,1659,Dijon,1731,Paris,1666,LONGEPIERRE, Hilaire de
tc0519,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0219,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0031,Aure,François d',,,,,,AURE, François d'
tc0182,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0039,Barré,RADET, DESFONTAINES.,,,,Gentilly,,BARRÉ, RADET, DESFONTAINES.
tc0387,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0275,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0759,Vadé,Jean-Joseph,1720,Ham,1757,Paris,,VADÉ, Jean-Joseph
tc0489,Le mierre,Antoine-Marin,1723,Paris,1793,Saint-Germain-en-Laye,1781,LE MIERRE, Antoine-Marin
tc0673,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0549,Molière,,1622,Paris,1673,Paris,,Molière
tc0702,Rotrou,JeAn,1609,Dreux,1650,Dreux,,ROTROU, JeAn
tc0312,Desjardins,Marie-Catherine-Hortense de, Mademoisele de Villedieu,1640,Alençon,1683,Saint-Rémy du Val,,DESJARDINS, Marie-Catherine-Hortense de, Mademoisele de Villedieu
tc0715,Saint-aignan,Etienne,1773,,1824,,,SAINT-AIGNAN, Etienne
tc0695,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0644,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0093,Boyer,Claude,1618,Albi,1698,Paris,1,BOYER, Claude
tc0099,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0564,Moliere,,1622,Paris,1673,Paris,,MOLIERE
tc0142,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0614,Piron,Alexis,1689,Dijon,1773,Paris,,PIRON, Alexis
tc0000,Abeille,Gaspard,1648,Riez en provence,1718,Paris,1673,ABEILLE, Gaspard
tc0213,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0463,Lafont,Joseph de,1686,Paris,1724,Passy,,LAFONT, Joseph de ; LESAGE, Alain-René
tc0463,Lesage,Alain-René,1686,Paris,1724,Passy,,LAFONT, Joseph de ; LESAGE, Alain-René
tc0355,Regnard,,1655,Paris,1709,château de grillon, Dourdan,,REGNARD et DUFRESNY
tc0355,Dufresny,,1655,Paris,1709,château de grillon, Dourdan,,REGNARD et DUFRESNY
tc0191,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0184,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0286,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0066,Boisrobert,François Le Métel de,1589,Caen,1662,Paris,,BOISROBERT, François Le Métel de 
tc0499,Magnon,Jean,1601,Bresse,1655,Paris,,MAGNON, Jean
tc0647,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0115,Campistron,Jean G. de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean G. de
tc0113,Campistron,Jean Galbert de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean Galbert de
tc0360,Dumaniant,Antoine-Jean Bourlin dit,1752,,1828,,,DUMANIANT, Antoine-Jean Bourlin dit
tc0351,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0326,Dorimond,Nicolas Drouin dit,1628,,1673,,,DORIMOND, Nicolas Drouin dit
tc0365,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0778,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0155,Chazet,,,,,,,CHAZET et DUBOIS
tc0155,Dubois,,,,,,,CHAZET et DUBOIS
tc0438,Hoffmann,François-Benoît,1760,Nancy,1828,Paris,,HOFFMANN, François-Benoît
tc0156,Chazet,DUPATY,1775,Blanquefort,1851,Paris,1647,CHAZET, DUPATY
tc0029,Aure,François d',,,,,,AURE, François d'
tc0703,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0336,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0257,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0755,Tristan l_hermite,François,1601,Château de Soliers, Marche,1655,Paris,,TRISTAN L_HERMITE, François
tc0630,Pradon,Nicolas,1632,Rouen,1698,Paris,,PRADON, Nicolas
tc0019,Dorvigny,Louis François Archambault dit,1742,Paris,1812,Paris,,DORVIGNY, Louis François Archambault dit
tc0750,Tanevot,Alexandre,1691,,1773,,,TANEVOT, Alexandre
tc0402,Fuzelier,Louis,1672,Paris,1752,Paris,,FUZELIER, Louis et LESAGE Alain-René 1668 Sarzeau 1747 Boulogne-sur-mer
tc0402,Lesage alain-rené 1668 sarzeau 1747 boulogne-sur-mer,,1672,Paris,1752,Paris,,FUZELIER, Louis et LESAGE Alain-René 1668 Sarzeau 1747 Boulogne-sur-mer
tc0405,Gilbert,Gabriel,1620,Paris,1675,,,GILBERT, Gabriel
tc0323,Dorat,Claude-Joseph,1734,Paris,1780,Paris,,DORAT, Claude-Joseph
tc0585,François-augustin paradis de moncrif,,1687,Paris,1770,Paris,,François-Augustin Paradis de MONCRIF
tc0141,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0224,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0653,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0769,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0511,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0399,Fuzelier,Louis,1672,Paris,1752,Paris,,FUZELIER, Louis
tc0503,Magnon,Jean,1601,Bresse,1655,Paris,,MAGNON, Jean
tc0420,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0766,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0299,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0598,Ouville,Antoine le Métel,1589,Caen,1655,,,OUVILLE, Antoine le Métel
tc0792,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0648,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0441,Jaquelin,,,,,,,JAQUELIN et PHILIDOR
tc0441,Philidor,,,,,,,JAQUELIN et PHILIDOR
tc0338,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0793,Voltaire,François-Marie AROUET de,1694,Paris,1778,Paris,,VOLTAIRE, François-Marie AROUET de
tc0746,Sommerive,Comte de,1???,,1???,,,SOMMERIVE, Comte de
tc0370,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0547,Merle,,,,,,,MERLE et DESESSARTS
tc0547,Desessarts,,,,,,,MERLE et DESESSARTS
tc0227,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0737,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0639,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0269,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0185,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0202,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0177,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0157,Chazet,,,,v,,,CHAZET et GASSICOURT
tc0157,Gassicourt,,,,v,,,CHAZET et GASSICOURT
tc0044,Beaunoir,Alexandre-Louis-Bertrand Robineau dit de,17460,Paris,1823,Paris,,BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de
tc0301,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0015,(anonyme),,,,,,,(anonyme)
tc0473,Laignelot,Joseph-François,1752,,1829,,,LAIGNELOT, Joseph-François
tc0236,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0708,Rousseau,Jean-Jacques,1712,Génève,1778,Ermenonville,,ROUSSEAU, Jean-Jacques
tc0048,Bensérade,Isaac de,1613,Lyons-la-Forêt,1691,Gentilly,1674,BENSÉRADE, Isaac de
tc0578,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0584,Moline,Pierre-Louis,1740,Paris,1820,Paris,,MOLINE, Pierre-Louis
tc0209,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0629,Pradon,Nicolas,1632,Rouen,1698,Paris,,PRADON, Nicolas
tc0637,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0253,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0111,Campistron,Jean Galbert de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean Galbert de
tc0562,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0346,Dufresny,Charles Rivière,1657,Paris,1724,Paris,,DUFRESNY, Charles Rivière
tc0194,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0731,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0210,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0238,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0689,Riccoboni,,,,,,,RICCOBONI et ROMAGNESI
tc0689,Romagnesi,,,,,,,RICCOBONI et ROMAGNESI
tc0798,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0035,Barante,,,,,,,BARANTE et DUFESNY
tc0035,Dufesny,,,,,,,BARANTE et DUFESNY
tc0290,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0186,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0398,Fuzelier,Louis,1672,Paris,1752,Paris,,FUZELIER, Louis
tc0720,Saurin,Bernard-Joseph,1706,Paris,1781,Paris,1761,SAURIN, Bernard-Joseph
tc0501,Magnon,Jean,1601,Bresse,1655,Paris,,MAGNON, Jean
tc0138,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0349,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0419,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0352,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0121,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0024,Archambault,Louis-François,1742,Paris,1812,Paris,,ARCHAMBAULT, Louis-François
tc0197,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0573,Moliere,,1622,Paris,1673,Paris,,MOLIERE
tc0796,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0710,Rousseau,Jean-Jacques,1712,Génève,1778,Ermenonville,,ROUSSEAU, Jean-Jacques
tc0671,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0533,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0298,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0075,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0722,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0401,Fuzelier,Louis,,,,,,FUZELIER, Louis et LEGRAND Marc-Antoine
tc0401,Legrand marc-antoine,,,,,,,FUZELIER, Louis et LEGRAND Marc-Antoine
tc0455,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0318,Discret,L.C.,1606,Rouen,1684,Paris,1647,DISCRET, L.C.
tc0241,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0410,Gouges,Olympe de Gouges,1748,Montauban,1793,Paris,,GOUGES, Olympe de Gouges
tc0287,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0545,Mercier,Louis-Sébatsien,1740,Paris,1814,Paris,,MERCIER, Louis-Sébatsien
tc0403,Genest,Claude-Charles,1637,Paris,1719,Paris,1698,GENEST, Claude-Charles
tc0139,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0530,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0091,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0057,Biancolelli,Pierre François,1680,,1734,,,BIANCOLELLI, Pierre François
tc0320,Donneau de visé,Jean,1638,Paris,1710,Paris,,DONNEAU DE VISÉ, Jean
tc0763,Villiers,Claude DESCHAMPS de,1601,,,,,VILLIERS, Claude DESCHAMPS de
tc0199,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0496,Le vayer de boutigny,Roland,1627,Paris,1685,Paris,,LE VAYER DE BOUTIGNY, Roland
tc0358,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0114,Campistron,Jean Galbert de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean Galbert de
tc0490,Le mierre,Antoine-Marin,1723,Paris,1793,Saint-Germain-en-Laye,1781,LE MIERRE, Antoine-Marin
tc0683,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0065,Boisrobert,François Le Métel de,1589,Caen,1662,Paris,,BOISROBERT, François Le Métel de 
tc0557,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0661,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0068,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0375,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0589,Nadal,Augustin,1659,Poitiers,1741,Poitiers,,NADAL, Augustin
tc0259,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0628,Pradon,Nicolas,1632,Rouen,1698,Paris,,PRADON, Nicolas
tc0361,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0440,Imbert,Barthélémy,1647,,1790,,,IMBERT, Barthélémy
tc0190,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0484,Legouvé,Gabriel,1730,Paris,1782,Paris,1803,LEGOUVÉ, Gabriel
tc0429,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0770,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0587,Nadal,Augustin,1659,Poitiers,1741,,Poitiers,NADAL, Augustin
tc0317,Diderot,Denis,1713,Langres,1784,Paris,,DIDEROT, Denis
tc0408,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0791,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0078,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0122,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0536,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0104,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0085,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0391,Florian,Jean Pierre Claris de,1755,,1794,Paris,,FLORIAN, Jean Pierre Claris de
tc0396,Folard,Melchior de,1683,Avignon,1739,Lyon,1688,FOLARD, Melchior de
tc0322,Dorat,Claude-Joseph,1601,Bresse,1655,Paris,,DORAT, Claude-Joseph
tc0266,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
