,idno,author-name,title,year,genre,form,decade
tc0361,tc0361,Corneille,Monsieur de bievre,n.av.,Comédie,mixte,n.av0s
tc0440,tc0440,Imbert,L'inauguration du théâtre français,1782,Comédie,vers,1780s
tc0190,tc0190,Corneille,Sophonisbe,1663,Tragédie,vers,1660s
tc0429,tc0429,Gueullette,Le marchand de merde,1720,Parade,prose,1720s
tc0530,tc0530,Marivaux,Le père prudent et équitable,1706,Comédie,vers,1700s
tc0593,tc0593,Nivelle de la chaussée,École des amis,1737,Comédie,vers,1730s
tc0289,tc0289,Dancourt,Le moulin de javelle,1696,Comédie,prose,1690s
tc0133,tc0133,Carmontelle,L'écrivain des charniers,1768,Proverbe,prose,1760s
tc0062,tc0062,Blanc,Les druides,1772,Tragédie,vers,1770s
tc0579,tc0579,Molière,Sganarelle ou le cocu imaginaire,1660,Comédie,vers,1660s
tc0217,tc0217,Corneille,Les illustres ennemis,1655,Comédie,vers,1650s
tc0130,tc0130,Carmontelle,Le chanteur italien,1768,Proverbe,prose,1760s
tc0377,tc0377,Du ryer,Argenis et poliarque ou théocrine,1630,Tragi-comédie,vers,1630s
tc0030,tc0030,Aure,Geneviève ou l'innocence reconnue,n.av.,Tragédie,vers,n.av0s
tc0609,tc0609,Patrat,L'heureuse erreur,1783,Comédie,prose,1780s
tc0087,tc0087,Boursault,Marie stuard,1683,Tragédie,vers,1680s
tc0181,tc0181,Corneille,Nicomède,1651,Tragédie,vers,1650s
tc0581,tc0581,Molière,Le tartuffe ou l'imposteur,1664,Comédie,vers,1660s
tc0781,tc0781,Voltaire,Mariamne,1724,Tragédie,vers,1720s
tc0074,tc0074,Boissy,L'homme du jour,(inconnue),Comédie,vers,(inconnue0s
tc0760,tc0760,Vadé,La veuve indécise,1759,Opéra comique,mixte,1750s
tc0017,tc0017,Anseaume,Cendrillon,1759,Comédie,mixte,1750s
tc0081,tc0081,Boursault,La comédie sans titre,1683,Comédie,vers,1680s
tc0086,tc0086,Boursault,Le jaloux endormi,1662,Comédie,vers,1660s
tc0051,tc0051,Beys,Céline ou les frères rivaux,1633,Tragi-comédie,vers,1630s
tc0404,tc0404,Gilbert,Rodogune,1645,Tragi-comédie,vers,1640s
tc0691,tc0691,Romagnesi,La rancune,1755,Comédie,vers,1750s
tc0668,tc0668,Regnard,Attendez-moi sous l'orme,1694,Comédie,prose,1690s
tc0159,tc0159,Chevreau,L'avocat dupé,1637,Comédie,vers,1630s
tc0608,tc0608,Palissot de montenoy,Les tuteurs,1760,Comédie,vers,1760s
tc0243,tc0243,Cubières-palmézeaux,La fête séculaire de corneille,(inconnue),Apologie,vers,(inconnue0s
tc0201,tc0201,Corneille,Bérénice,1657,Tragédie,vers,1650s
tc0112,tc0112,Campistron,Acis et galatée,1686,Pastorale héroïque,vers,1680s
tc0686,tc0686,Regnard,Les vendanges,(non représentée),Comédie,mixte,(non représentée0s
tc0572,tc0572,Moliere,Le médecin volant,1660,Farce,prose,1660s
tc0570,tc0570,Molière,Le mariage forcé,1664,Comédie-ballet,prose,1660s
tc0607,tc0607,Palissot de montenoy,Les philosophes,1760,Comédie,vers,1760s
tc0520,tc0520,Marivaux,La femme fidèle,1750,Comédie,prose,1750s
tc0180,tc0180,Corneille,La mort de pompée,1642,Tragédie,vers,1640s
tc0149,tc0149,Chabanon,Le faux noble,1788,Comédie,vers,1780s
tc0178,tc0178,Corneille,Mélite,1642,Comédie,vers,1640s
tc0187,tc0187,Corneille,Pulchérie,1672,Comédie héroïque,vers,1670s
tc0802,tc0802,n.av.,Les forces de l'amour et de la magie,1678,Divertissement,prose,1670s
tc0725,tc0725,Scarron,La fausse apparence comédie,1662,Tragi-comédie,vers,1660s
tc0451,tc0451,La chapelle,Zaïde,1681,Tragédie,vers,1680s
tc0064,tc0064,Bohaire-dutheil,Le siège de paris,(inconnue),Tragédie,vers,(inconnue0s
tc0493,tc0493,Lesage,Crispin un rival de son maitre,1707,Comédie,prose,1700s
tc0638,tc0638,Quinault,Cadmus et hermione,1673,Opéra,vers,1670s
tc0466,tc0466,La fosse,L'école de la raison,1739,Comédie,vers,1730s
tc0505,tc0505,Mairet,Sophonisbe,1629,Tragédie,vers,1620s
tc0761,tc0761,Viau,Pyrame et thisbé,1617,Tragédie,vers,1610s
tc0316,tc0316,Diderot,Le fils naturel ou les épreuves de la vertu,1757,Tragi-comédie,prose,1750s
tc0655,tc0655,Racine,Bérénice,1670,Tragédie,vers,1670s
tc0291,tc0291,Dancourt,L'opérateur barry,1702,Comédie,prose,1700s
tc0139,tc0139,Carmontelle,Le petit poucet,(inconnue),Proverbe,prose,(inconnue0s
tc0403,tc0403,Genest,Pénélope,1684,Tragédie,vers,1680s
tc0545,tc0545,Mercier,L'habitant de la guadeloupe,1782,Drame,prose,1780s
tc0511,tc0511,Marivaux,La commère,1741,Comédie,prose,1740s
tc0399,tc0399,Fuzelier,Orphée,1716,Divertissement,vers,1710s
tc0503,tc0503,Magnon,Tamerlan,1644,Tragédie,vers,1640s
tc0420,tc0420,Gueullette,Arlequin-pluton,1719,Comédie,prose,1710s
tc0766,tc0766,Voltaire,Agathocle,1779,Tragédie,vers,1770s
tc0299,tc0299,Dancourt,Les vacances,1697,Comédie,prose,1690s
tc0598,tc0598,Ouville,L'absent chez soi,1642,Comédie,vers,1640s
tc0792,tc0792,Voltaire,Rome sauvée ou catilina,1750,Tragédie,vers,1750s
tc0648,tc0648,Quinault,Thésée,1675,Tragédie en musique,vers,1670s
tc0441,tc0441,n.av.,Pradon,1799,Pastorale,mixte,1790s
tc0338,tc0338,Dufresny,La coquette de village ou le lot supposé,1715,Comédie,vers,1710s
tc0793,tc0793,Voltaire,Samson,(non représentée),Opéra,vers,(non représentée0s
tc0746,tc0746,Sommerive,Bajazet,1737,Tragédie,vers,1730s
tc0370,tc0370,Durant,Pour un plaisir mille douleurs,(inconnue),Proverbe,prose,(inconnue0s
tc0547,tc0547,n.av.,À bas molière,1809,Pièce,mixte,1800s
tc0227,tc0227,Corneille,Théodat,1672,Tragédie,vers,1670s
tc0737,tc0737,Scudery,Le prince déguisé,1635,Tragi-comédie,vers,1630s
tc0639,tc0639,Quinault,Le docteur de verre,1689,Comédie,vers,1680s
tc0269,tc0269,Dancourt,L'été des coquettes a la mode,1690,Comédie,prose,1690s
tc0185,tc0185,Corneille,La place royale ou l'amoureux extravagant,1634,Comédie,vers,1630s
tc0202,tc0202,Corneille,Le berger extravagant,1652,Pastorale,vers,1650s
tc0769,tc0769,Voltaire,Brutus,1730,Tragédie,vers,1730s
tc0177,tc0177,Corneille,Médée,1635,Tragédie,vers,1630s
tc0653,tc0653,Racine,Athalie,1691,Tragédie,vers,1690s
tc0141,tc0141,Carmontelle,La recommandation,1768,Proverbe,prose,1760s
tc0113,tc0113,Campistron,Adrien,1690,Tragédie,vers,1690s
tc0360,tc0360,Dumaniant,Le dragon de thionvile,1786,Fait historique,prose,1780s
tc0351,tc0351,Dufresny,Le négligent,1692,Comédie,prose,1690s
tc0326,tc0326,Dorimond,L'école des cocus ou la précaution inutile,(inconnue),Comédie,mixte,(inconnue0s
tc0365,tc0365,Durant,À laver la tête d'âne on y perd sa lessive,(non représentée),Proverbe,prose,(non représentée0s
tc0778,tc0778,Voltaire,Les guèbres ou la tolérance ,(non représentée),Tragédie,vers,(non représentée0s
tc0155,tc0155,n.av.,Molière chez ninon ou la lecture de tartuffe,1802,Comédie,vers,1800s
tc0438,tc0438,Hoffmann,Phèdre,1786,Opéra,vers,1780s
tc0156,tc0156,Chazet,Arlequin journaliste,1797,Comédie,mixte,1790s
tc0029,tc0029,Aure,Dipné,n.av.,Tragédie,vers,n.av0s
tc0703,tc0703,Rotrou,Le véritable saint genest,1646,Tragédie,vers,1640s
tc0336,tc0336,Dufresny,Les adieux des officiers,1693,Comédie,mixte,1690s
tc0257,tc0257,Dancourt,Le charivari,1697,Comédie,prose,1690s
tc0755,tc0755,Tristan l_hermite,Osman,1646,Tragédie,vers,1640s
tc0630,tc0630,Pradon,Régulus,n.av.,Tragédie,vers,n.av0s
tc0019,tc0019,Dorvigny,La comédie à l'impromptu ou les dupes,1780,Comédie,mixte,1780s
tc0750,tc0750,Tanevot,Adam et eve,(non représentée),Tragédie,vers,(non représentée0s
tc0402,tc0402,n.av.,Le tableau du mariage,1716,Opéra comique,mixte,1710s
tc0405,tc0405,Gilbert,Téléphonte,1645,Tragi-comédie,vers,1640s
tc0323,tc0323,Dorat,Régulus,(non représentée),Tragédie,vers,(non représentée0s
tc0585,tc0585,François-augustin paradis de moncrif,Les abderites,1732,Comédie,vers,1730s
tc0224,tc0224,Corneille,Persée et démétrius,1662,Tragédie,vers,1660s
tc0157,tc0157,n.av.,Finot,1701,Proverbe,prose,1700s
tc0044,tc0044,Beaunoir,Les libellistes,1779,Drame,prose,1770s
tc0301,tc0301,Dancourt,Les vendanges de suresnes,1695,Comédie,mixte,1690s
tc0138,tc0138,Carmontelle,Le petit maître par philosophie,(inconnue),Proverbe,prose,(inconnue0s
tc0349,tc0349,Dufresny,Les mal-assortis,1693,Comédie,mixte,1690s
tc0419,tc0419,Gueullette,L'amant poussif,1720,Farce,prose,1720s
tc0352,tc0352,Dufresny,La noce interrompue,1699,Comédie,prose,1690s
tc0121,tc0121,Carmontelle,L'abbé de plâtre,1779,Comédie,prose,1770s
tc0024,tc0024,Archambault,Jocrisse changé de condition,1794,Comédie,prose,1790s
tc0197,tc0197,Corneille,La veuve,1634,Comédie,vers,1630s
tc0573,tc0573,Moliere,Mélicerte,1666,Comédie héroïque,vers,1660s
tc0796,tc0796,Voltaire,Sémiramis,1748,Tragédie,vers,1740s
tc0710,tc0710,Rousseau,Les prisonniers de guerre,1747,Comédie,prose,1740s
tc0671,tc0671,Regnard,La coquette,1691,Comédie,mixte,1690s
tc0533,tc0533,Marivaux,Le prince travesti,1724,Comédie,prose,1720s
tc0298,tc0298,Dancourt,Le tuteur,1695,Comédie,prose,1690s
tc0075,tc0075,Boissy,Le je ne sais quoi,(inconnue),Comédie,vers,(inconnue0s
tc0722,tc0722,Scarron,Les boutades du capitan matamore et ses comédies,1646,Comédie,vers,1640s
tc0401,tc0401,n.av.,Les animaux raisonnables,1718,Opéra comique,mixte,1710s
tc0455,tc0455,La fontaine,Astrée,1691,Tragédie lyrique,vers,1690s
tc0318,tc0318,Discret,Les noces de vaugirard,1635,Comédie,vers,1630s
tc0241,tc0241,Cubières-palmézeaux,Dialogue entre l'auteur et un homme de goêt,1788,Dialogue,prose,1780s
tc0410,tc0410,Gouges,Molière chez ninon ou le siècle des grands hommes,1789,Pièce épisodique,prose,1780s
tc0287,tc0287,Dancourt,Le mari retrouvé,1698,Comédie,prose,1690s
tc0501,tc0501,Magnon,Le mariage d'oroondate et de statira,1644,Tragi-comédie,vers,1640s
tc0720,tc0720,Saurin,Les moeurs du temps,1760,Comédie,prose,1760s
tc0398,tc0398,Fuzelier,L'enfer galant,n.av.,Parodie,mixte,n.av0s
tc0186,tc0186,Corneille,Polyeucte martyr,1641,Tragédie,vers,1640s
tc0015,tc0015,(anonyme),Le prix d'un moment,(non représentée),Comédie,mixte,(non représentée0s
tc0473,tc0473,Laignelot,Agis,n.av.,Tragédie,vers,n.av0s
tc0236,tc0236,Crébillon,Rhadamisthe et zénobie,1711,Tragédie,vers,1710s
tc0708,tc0708,Rousseau,Les muses galantes,1744,Ballet,vers,1740s
tc0048,tc0048,Bensérade,La mort d'achille et la dispute des armes,1635,Tragédie,vers,1630s
tc0578,tc0578,Molière,Psyché,1671,Tragi-comédie,vers,1670s
tc0584,tc0584,Moline,Les legislatrices,(non représenté),Comédie,vers,(non représenté0s
tc0209,tc0209,Corneille,Darius,1659,Tragédie,vers,1650s
tc0629,tc0629,Pradon,Phèdre et hippolyte,1677,Tragédie,vers,1670s
tc0637,tc0637,Quinault,Bellérophon,1671,Tragédie,vers,1670s
tc0558,tc0558,Molière,Don juan ou le festin de pierre,1665,Comédie,prose,1660s
tc0253,tc0253,Dancourt,Nouveau prologue,1704,Comédie,vers,1700s
tc0562,tc0562,Molière,Les fâcheux,n.av.,Comédie-ballet,vers,n.av0s
tc0346,tc0346,Dufresny,Le jaloux honteux,1708,Comédie,prose,1700s
tc0194,tc0194,Corneille,Théodore,1645,Tragédie,vers,1640s
tc0731,tc0731,Scudery,L'amour tyrannique,1638,Tragi-comédie,vers,1630s
tc0210,tc0210,Corneille,Don bertran  de cigarral,1651,Comédie,vers,1650s
tc0238,tc0238,Crébillon,Xercès,1714,Tragédie,vers,1710s
tc0689,tc0689,n.av.,Les compliments,1736,Pièce,mixte,1730s
tc0798,tc0798,Voltaire,Sophonisbe ,1774,Tragédie,vers,1770s
tc0035,tc0035,n.av.,Les fées ou les contes de ma mère l'oye,1697,Comédie,mixte,1690s
tc0290,tc0290,Dancourt,L'opéra de village,1693,Comédie,prose,1690s
tc0111,tc0111,Campistron,Achille et polixène,1687,Tragédie en musique,vers,1680s
tc0115,tc0115,Campistron,Andronic,1685,Tragédie,vers,1680s
tc0470,tc0470,La harpe,Molière a la nouvelle salle,1782,Comédie,vers,1780s
tc0433,tc0433,Harny de guerville,Le petit-maître en province,1765,Comédie,vers,1760s
tc0109,tc0109,Cailhava d'estendoux,L'égoïsme,1777,Comédie,vers,1770s
tc0211,tc0211,Corneille,Don césar d'avalos,1674,Comédie,vers,1670s
tc0642,tc0642,Quinault,Isis,1677,Opéra,vers,1670s
tc0733,tc0733,Scudery,Eudoxe - tragi-comédie,1633,Tragi-comédie,vers,1630s
tc0313,tc0313,Desmarets de saint-sorlin,Les visionnaires,1637,Comédie,vers,1630s
tc0077,tc0077,Boissy,Le plagiaire,1746,Comédie,vers,1740s
tc0635,tc0635,Quinault,Armide,1686,Opéra,vers,1680s
tc0590,tc0590,Nadal,Le paradis terrestre,1735,Divertissement,vers,1730s
tc0043,tc0043,Beaunoir,La cacophonie,1779,Comédie,vers,1770s
tc0267,tc0267,Dancourt,Les eaux de bourbon,1695,Comédie,prose,1690s
tc0146,tc0146,Carrière-doisin a.,Le café littéraire,n.av.,Comédie,prose,n.av0s
tc0140,tc0140,Carmontelle,Les pleureurs d'homère,(inconnue),Proverbe,prose,(inconnue0s
tc0483,tc0483,Legouvé,Étéocle,1799,Tragédie,vers,1790s
tc0309,tc0309,Deshoulières,Genseric,1680,Tragédie,vers,1680s
tc0615,tc0615,Piron,La fausse alarme,(non représentée),Pastorale,vers,(non représentée0s
tc0757,tc0757,Urfé,Sylvanire ou la morte vive,1617,Pastorale héroïque,vers,1610s
tc0665,tc0665,Racine,La thébaïde ou les frères ennemis,1664,Tragédie,vers,1660s
tc0304,tc0304,Delavigne,Une famille au temps de luther,n.av.,Tragédie,vers,n.av0s
tc0296,tc0296,Dancourt,Sancho pança,1712,Comédie,vers,1710s
tc0135,tc0135,Carmontelle,Le faux empoisonnement,(inconnue),Proverbe,prose,(inconnue0s
tc0767,tc0767,Voltaire,Alzire ou les américains,1736,Tragédie,vers,1730s
tc0753,tc0753,Tristan l_hermite,La mort de chrispe,1644,Tragédie,vers,1640s
tc0056,tc0056,Biancolelli,Oedipe travesti,1719,Parodie,vers,1710s
tc0525,tc0525,Marivaux,Le jeu de l'amour et du hasard,1730,Comédie,prose,1730s
tc0096,tc0096,Boyer,Artaxerce,1682,Tragédie,vers,1680s
tc0646,tc0646,Quinault,Roland,1685,Opéra,vers,1680s
tc0067,tc0067,Boisrobert,Les rivaux amis,1653,Tragi-comédie,prose,1650s
tc0773,tc0773,Voltaire,Le droit du seigneur,1749,Comédie,vers,1740s
tc0795,tc0795,Voltaire,Les scythes,1767,Tragédie,vers,1760s
tc0412,tc0412,Goullinet,Les trois aveugles,1782,Comédie,prose,1780s
tc0678,tc0678,Regnard,Le joueur,1696,Comédie,vers,1690s
tc0706,tc0706,Rousseau,Le devin du village,1752,Bergerie,vers,1750s
tc0176,tc0176,Corneille,Médée,1635,Tragédie,vers,1630s
tc0540,tc0540,Marivaux,Le triomphe de l'amour,1732,Comédie,prose,1730s
tc0724,tc0724,Scarron,L'escolier de salamanque ou les généreux ennemis tragi-comédie,1654,Tragi-comédie,vers,1650s
tc0018,tc0018,Archambault,Ça n'en est pas ou tout ce qui reluit n'est pas or,1779,Proverbe,prose,1770s
tc0256,tc0256,Dancourt,Céphale et procris,1711,Comédie,mixte,1710s
tc0439,tc0439,Hugo,Hernani,1830,Drame,vers,1830s
tc0526,tc0526,Marivaux,La joie imprévue,1738,Comédie,prose,1730s
tc0485,tc0485,Legouvé,Polixène,(inconnue),Tragédie,vers,(inconnue0s
tc0784,tc0784,Voltaire,Nanine ou le préjugé vaincu,1749,Comédie,vers,1740s
tc0424,tc0424,Gueullette,La confiance des cocus,1720,Parade,prose,1720s
tc0482,tc0482,Legouvé,Attilie,1750,Tragédie,vers,1750s
tc0128,tc0128,Carmontelle,Le boudoir,1768,Proverbe,prose,1760s
tc0058,tc0058,Biancolelli pierre-françois,Arcagambis,1726,Tragédie,vers,1720s
tc0513,tc0513,Marivaux,La dispute,1744,Comédie,prose,1740s
tc0032,tc0032,Baculard,Le coligny,1739,Tragédie,prose,1730s
tc0779,tc0779,Voltaire,L'indiscret,1736,Comédie,vers,1730s
tc0743,tc0743,Somaize,Les précieuses ridicules,1662,Comédie,vers,1660s
tc0071,tc0071,Boissy,Les dehors trompeurs ou l'homme du jour,1740,Comédie,vers,1740s
tc0535,tc0535,Marivaux,La réunion des amours,1731,Comédie héroïque,prose,1730s
tc0631,tc0631,Pradon,Scipion l'africain,1697,Tragédie,vers,1690s
tc0685,tc0685,Regnard,Les souhaits,(non représentée),Comédie,vers,(non représentée0s
tc0453,tc0453,L'affichard,Les acteurs déplacés,1735,Comédie,mixte,1730s
tc0666,tc0666,Regnard,Arlequin aux enfers,1689,Comédie,prose,1680s
tc0580,tc0580,Molière,Le sicilien ou l'amour peintre,1667,Comédie,mixte,1660s
tc0448,tc0448,La calprenede,Jeanne,1648,Tragédie,vers,1640s
tc0345,tc0345,Dufresny,Le faux sincère,1731,Comédie,vers,1730s
tc0504,tc0504,Mairet,L'illustre corsaire,1629,Tragi-comédie,vers,1620s
tc0745,tc0745,Somaize,Les véritables précieuses,1660,Comédie,prose,1660s
tc0073,tc0073,Boissy,La frivolité,1753,Comédie,vers,1750s
tc0276,tc0276,Dancourt,La folle enchère,1690,Comédie,prose,1690s
tc0021,tc0021,Archambault,Hurlubrelu ou tout de travers,n.av.,Comédie,prose,n.av0s
tc0061,tc0061,Bievre,Vercingentorixe,(non représentée),Tragédie,vers,(non représentée0s
tc0084,tc0084,Boursault,La fête de la seine,1690,Ballet,vers,1690s
tc0076,tc0076,Boissy,Le médecin par occasion,1745,Comédie,vers,1740s
tc0786,tc0786,Voltaire,Olympie,1764,Tragédie,vers,1760s
tc0364,tc0364,Durant,À bon chat bon rat,(non représentée),Proverbe,prose,(non représentée0s
tc0758,tc0758,Vadé,La canadienne,1758,Comédie,vers,1750s
tc0434,tc0434,Harny de guerville,La sybille,1765,Comédie,vers,1760s
tc0427,tc0427,Gueullette,Léandre fiacre,1720,Parade,prose,1720s
tc0487,tc0487,Legrand,La nouveauté,1727,Comédie,vers,1720s
tc0094,tc0094,Boyer,Les amours de jupiter et de sémélé,1666,Tragédie,vers,1660s
tc0555,tc0555,Molière,Le dépit amoureux,1668,Comédie,vers,1660s
tc0495,tc0495,Le tellier,Don juan ou le festin de pierre,1713,Opéra comique,vers,1710s
tc0576,tc0576,Molière,Les précieuses ridicules,1659,Comédie,prose,1650s
tc0143,tc0143,Carmontelle,Le suisse de porte et le portrait,(inconnue),Proverbe,prose,(inconnue0s
tc0348,tc0348,Du fresny,La malade sans maladie,1699,Comédie,prose,1690s
tc0462,tc0462,La fontaine,Les rieurs du beau-richard,(non représentée),Ballet,vers,(non représentée0s
tc0454,tc0454,Lafont,Le naufrage,1710,Comédie,vers,1710s
tc0246,tc0246,Cubières-palmézeaux,La mort de molière,1788,Comédie,vers,1780s
tc0390,tc0390,Favart,L'anglais à bordeaux,1763,Comédie,vers,1760s
tc0777,tc0777,Voltaire,Le fanatisme,1742,Tragédie,vers,1740s
tc0551,tc0551,Molière,L´avare,n.av.,Comédie,prose,n.av0s
tc0515,tc0515,Marivaux,L'école des mères,1732,Comédie,mixte,1730s
tc0541,tc0541,Marivaux,Le triomphe de plutus,1728,Comédie,prose,1720s
tc0479,tc0479,Lebeau de schosme,L'assemblée,1773,Comédie,vers,1770s
tc0719,tc0719,Saurin,Blanche et guiscard ,1763,Tragédie,vers,1760s
tc0372,tc0372,Durant,Tel maître,(non représentée),Proverbe,prose,(non représentée0s
tc0604,tc0604,Palissot de montenoy,Le barbier de bagdad,1758,Comédie,prose,1750s
tc0514,tc0514,Marivaux,La double inconstance,1723,Comédie,prose,1720s
tc0153,tc0153,Champméslé,La coupe enchantée,1693,Comédie,vers,1690s
tc0641,tc0641,Quinault,Les fêtes de l'amour et de bacchus,1682,Pastorale,vers,1680s
tc0553,tc0553,Molière,La comtesse d'escarbagnas,n.av.,Comédie,prose,n.av0s
tc0359,tc0359,Dugazon,Le modéré,1793,Comédie,vers,1790s
tc0632,tc0632,Pradon,Statira,1677,Tragédie,vers,1670s
tc0610,tc0610,Patrat,La vengeance,1798,Comédie,vers,1790s
tc0167,tc0167,Corneille,Le cid,1637,Tragi-comédie,vers,1630s
tc0532,tc0532,Marivaux,Le préjuge vaincu,1646,Comédie,prose,1640s
tc0169,tc0169,Corneille,Cinna ou la clémence d'auguste,1639,Tragédie,vers,1630s
tc0613,tc0613,Piron,Arlequin deucalion,1722,Comédie,mixte,1720s
tc0669,tc0669,Regnard,Le bal,1696,Comédie,vers,1690s
tc0310,tc0310,Deshoulières,La mort de cochon,(non représentée),Tragédie,vers,(non représentée0s
tc0612,tc0612,Pellet desbarreaux,Molière à toulouse,1787,Comédie,vers,1780s
tc0273,tc0273,Dancourt,Les fêtes noctunes du cours,1714,Comédie,mixte,1710s
tc0027,tc0027,Artaud,Le centenaire de molière,1773,Comédie,mixte,1770s
tc0279,tc0279,Dancourt,La gazette,1693,Comédie,prose,1690s
tc0152,tc0152,Chamfort,Mustapha et zéangir,1777,Tragédie,vers,1770s
tc0311,tc0311,Desjardins,Le favori,1665,Tragi-comédie,vers,1660s
tc0215,tc0215,Corneille,Le galant doublé,1659,Comédie,vers,1650s
tc0449,tc0449,La calprenede,La mort de mitridate,1635,Tragédie,vers,1630s
tc0284,tc0284,Dancourt,La loterie,1697,Comédie,prose,1690s
tc0004,tc0004,Aigueberre,Trois spectacles,(non représentée),Prologue,prose,(non représentée0s
tc0682,tc0682,Regnard,Le retour imprévu,1700,Comédie,prose,1700s
tc0308,tc0308,Desfontaines,La véritable sémiramis,1646,Tragédie,vers,1640s
tc0042,tc0042,Beaunoir,L'amour quêteur,1777,Comédie,prose,1770s
tc0214,tc0214,Corneille,Le festin de pierre,1677,Comédie,vers,1670s
tc0636,tc0636,Quinault,Atys,1676,Tragédie,vers,1670s
tc0335,tc0335,Duche de vancy,Absalon,1712,Tragédie,vers,1710s
tc0003,tc0003,Aigueberre,Polixène,(non représentée),Comédie,vers,(non représentée0s
tc0400,tc0400,Fuzelier,Scaramouche pédant,1716,Divertissement,vers,1710s
tc0667,tc0667,Regnard,Arlequin,1690,Comédie,prose,1690s
tc0680,tc0680,Regnard,La critique du légataire,1708,Comédie,prose,1700s
tc0729,tc0729,Scarron,Le jodelet duelliste,1646,Comédie,vers,1640s
tc0145,tc0145,Carmontelle,Les voyageurs,(inconnue),Proverbe,prose,(inconnue0s
tc0741,tc0741,Sedaine,Richard coeur de lion,1784,Comédie,mixte,1780s
tc0692,tc0692,n.av.,Les sauvages,1736,Piece,vers,1730s
tc0050,tc0050,Bernard,Brutus,n.av.,Comédie,vers,n.av0s
tc0672,tc0672,Regnard,Démocrite,1700,Comédie,vers,1700s
tc0022,tc0022,Archambault,Janot ou les battus paient l'amende,1779,Proverbe,prose,1770s
tc0384,tc0384,Du ryer,Nitocris,1639,Tragi-comédie,vers,1630s
