,idno,author-name,title,year,genre,form,decade
tc0797,tc0797,Voltaire,Socrate,1759,Tragédie,prose,1750s
tc0317,tc0317,Diderot,Le père de famille,1760,Comédie,prose,1760s
tc0408,tc0408,Regnard,Le marchand ridicule,1695,Comédie,prose,1690s
tc0791,tc0791,Voltaire,Les pélopides ou atree et thyeste,(non représentée),Tragédie,vers,(non représentée0s
tc0078,tc0078,Boissy,La vie est un songe,1732,Comédie héroïque,vers,1730s
tc0122,tc0122,Carmontelle,À bon chat bon rat,1768,Proverbe,prose,1760s
tc0536,tc0536,Marivaux,La seconde suprise de l'amour,1727,Comédie,prose,1720s
tc0104,tc0104,Boyer,Tyridate,1648,Tragédie,vers,1640s
tc0085,tc0085,Boursault,Germanicus,1673,Tragédie,vers,1670s
tc0391,tc0391,Florian,Le bon ménage,1782,Comédie,prose,1780s
tc0396,tc0396,Folard,Thémistocle,1681,Tragédie,vers,1680s
tc0322,tc0322,Dorat,Le célibataire,1775,Comédie,vers,1770s
tc0266,tc0266,Dancourt,Divertissement de sceaux,1705,Comédie-ballet,vers,1700s
tc0023,tc0023,Archambault,Janot chez la dégraisseur,1779,Proverbe,prose,1770s
tc0443,tc0443,La calprenede,Le clarionte ou le sacrifice sanglant,1636,Tragi-comédie,vers,1630s
tc0783,tc0783,Voltaire,La mort de césar,1743,Tragédie,vers,1740s
tc0069,tc0069,Boissy,L'auteur superstitieux,1732,Comédie,vers,1730s
tc0329,tc0329,Dorneval,Les amours de nanterre,1718,opéra comique,mixte,1710s
tc0559,tc0559,Molière,L'école des femmes,1661,Comédie,vers,1660s
tc0690,tc0690,Rochon  de chabannes,Hereusement,1762,Comédie,vers,1760s
tc0033,tc0033,n.av.,Mascarade de la foire saint-germain,1685,Mascarade,vers,1680s
tc0679,tc0679,Regnard,Le légataire universel,1704,Comédie,vers,1700s
tc0587,tc0587,Nadal,Hérode,1709,Tragédie,vers,1700s
tc0705,tc0705,Rotrou,Venceslas,1647,Tragi-comédie,vers,1640s
tc0770,tc0770,Voltaire,Charlot ou la comtesse de givry,1767,Pièce dramatique,vers,1760s
tc0484,tc0484,Legouvé,Laurence et orzano,(inconnue),Tragédie,vers,(inconnue0s
tc0091,tc0091,Boursault,Le portrait du peintre,1663,Comédie,vers,1660s
tc0057,tc0057,Biancolelli,Arlequin gentilhomme par hasard,1708,Comédie,mixte,1700s
tc0320,tc0320,Donneau de visé,La vengeance des marquis,1663,Comédie,prose,1660s
tc0763,tc0763,Villiers,Le festin de pierre ou le fils criminel,1659,Tragi-comédie,vers,1650s
tc0199,tc0199,Corneille,L'amour à la mode,1651,Comédie,vers,1650s
tc0496,tc0496,Le vayer de boutigny,Le grand sélim ou le couronnement tragique,1644,Tragédie,vers,1640s
tc0358,tc0358,Regnard,La suite de la foire saint-germain,1696,Comédie,mixte,1690s
tc0114,tc0114,Campistron,Alcibiade,1685,Tragédie,vers,1680s
tc0490,tc0490,Le mierre,Guillaume tell,1766,Tragédie,vers,1760s
tc0683,tc0683,Regnard,Sapor,(non représentée),Tragédie,vers,(non représentée0s
tc0065,tc0065,Boisrobert,L'amant ridicule,1655,Comédie,vers,1650s
tc0557,tc0557,Molière,Don garcie de navarre,1661,Comédie,vers,1660s
tc0661,tc0661,Racine,Phèdre,1677,Tragédie,vers,1670s
tc0068,tc0068,Boissy,L'apologie du siècle,1734,Comédie,vers,1730s
tc0375,tc0375,Du ryer,Alcionée ou le combat de l'honneur et de l'amour,1639,Tragédie,vers,1630s
tc0589,tc0589,Nadal,Osarphis ou moïse,(non représentée),Tragédie,vers,(non représentée0s
tc0259,tc0259,Dancourt,Colin-maillard,1701,Comédie,prose,1700s
tc0628,tc0628,Pradon,Tamerlan ou la mort de bajazet,1676,Tragédie,vers,1670s
